Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2001,1.90054,2001,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2001,17.14678,2001,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2002,10.17529,2002,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2002,3.01612,2002,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2008,27.00646,2008,,,,,Organization of American States (OAS),,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",28,Antigua and Barbuda,2008,11.19495,2008,,,,,Organization of American States (OAS),,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2000,39.64564,2000,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2000,10.75714,2000,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2001,25.70862,2001,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2001,3.31982,2001,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2002,26.5926,2002,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2002,7.73778,2002,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2003,28.9194,2003,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2003,3.72726,2003,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2004,27.11024,2004,,,,,World Health Organization Mortality Database,,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2004,1.21974,2004,,,,,World Health Organization Mortality Database,,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2005,27.88817,2005,,,,,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),,,,,,MALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
16,16.1,16.1.1,VC_IHR_PSRC,"Number of victims of intentional homicide per 100,000 population, by sex (victims per 100,000 population)",44,Bahamas,2005,4.78827,2005,,,,,National Criminal Justice Data as Collected through the United Nations Surveys on Crime Trends and the Operations of Criminal Justice Systems (UN-CTS),,,,,,FEMALE,,,,,,,,,,,,,,,,,G,,,,,,,,,,PER_100000_POP,,,,,,C,,,,,,,,,
