Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Substance use disorders,Type of renewable technology,Severity of price levels,Sex,Deviation Level,Mountain Elevation,Parliamentary committees,Mode of transportation,Level_of_government,Fiscal intervention stage,Type of support,Type of speed,Policy instruments,Policy Domains,Counterpart,Type of skill,Education level,Type of waste treatment,Location,Food Waste Sector,Reporting Type,Freq,Type of product,Cause of death,Report Ordinal,Government_Name,Observation Status,Type of occupation,Name of non-communicable disease,Grounds of discrimination,Units,Level/Status,Age,Disability status,Frequency of Chlorophyll-a concentration,Activity,Nature,Sampling Stations,Cities,Level of requirement,Quantile,IHR Capacity,Hazard type,Migratory status,Population Group,Name of international institution
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2000,NaN,2000,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2000,NaN,2000,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2000,NaN,2000,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2001,NaN,2001,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2001,NaN,2001,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2001,NaN,2001,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2002,NaN,2002,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,URBAN,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2002,NaN,2002,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,ALLAREA,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2002,NaN,2002,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
7,7.1,7.1.1,EG_ACS_ELEC,"Proportion of population with access to electricity, by urban/rural (%)",16,American Samoa,2003,NaN,2003,,,,,World Bank,,data not available,,,,,,,,,,,,,,,,,,,RURAL,,G,,,,,,,,,,PERCENT,,,,,,NA,,,,,,,,,
