geo_area_name,average_remittance_costs_of_sending_200_for_a_sending_country_as_a_proportion_of_the_amount_remitted_percent,average_remittance_costs_of_sending_200_in_a_corridor_as_a_proportion_of_the_amount_remitted_percent,average_remittance_costs_of_sending_200_to_a_receiving_country_as_a_proportion_of_the_amount_remitted_percent,countries_with_migration_policies_to_facilitate_orderly_safe_regular_and_responsible_migration_and_mobility_of_people_by_policy_domain_1_requires_further_progress_2_partially_meets_3_meets_4_fully_meets,growth_rates_of_household_expenditure_or_income_per_capita_percent,labour_share_of_gdp_percent,liquid_assets_to_short_term_liabilities_percent,net_open_position_in_foreign_exchange_to_capital_percent,non_performing_loans_net_of_provisions_to_capital_percent,non_performing_loans_to_total_gross_loans_percent,number_of_refugees_per_100_000_population_by_country_of_origin_per_100_000_population,proportion_of_countries_with_migration_policies_to_facilitate_orderly_safe_regular_and_responsible_migration_and_mobility_of_people_by_policy_domain_percent,proportion_of_members_of_developing_countries_in_international_organizations_by_organization_percent,proportion_of_people_living_below_50_percent_of_median_income_percent,proportion_of_population_reporting_having_felt_discriminated_against_by_grounds_of_discrimination_sex_and_disability_percent,proportion_of_tariff_lines_applied_to_imports_with_zero_tariff_percent,proportion_of_voting_rights_of_developing_countries_in_international_organizations_by_organization_percent,redistributive_impact_of_fiscal_policy_gini_index_percent,regulatory_capital_to_assets_percent,regulatory_tier_1_capital_to_risk_weighted_assets_percent,return_on_assets_percent,sma_rt_average_remittance_costs_of_sending_200_in_a_corridor_as_a_proportion_of_the_amount_remitted_percent,total_assistance_for_development_by_donor_countries_millions_of_current_united_states_dollars,total_assistance_for_development_by_recipient_countries_millions_of_current_united_states_dollars,total_deaths_and_disappearances_recorded_during_migration_number,total_resource_flows_for_development_by_recipient_and_donor_countries_millions_of_current_united_states_dollars
Dominican_Republic,3.55,3.55333,5.34,NA,4.720000000000001,47.3,450.31333,15.64349,-6.16965,1.61767,5.23083,NA,0.545914,14,NA,56.5891,0.29195042,NA,9.61034,14.0196,1.28324,3.55333,NA,1770,68,NA
Singapore,3.68,3.9075055555555553,NA,NA,NA,49.6,73.82143,0.14524,6.48857,1.30642,0.59355,NA,1.1493733333333334,NA,NA,74.25741571428571,0.6651525166666666,NA,8.23996,15.27161,1.32444,1.3718533333333334,NA,NA,1,NA
Cabo_Verde,NA,NA,8.08,2.4285714285714284,NA,41.7,NA,NA,NA,NA,0.88983,NA,0.545914,16,NA,70.11582,0.2500895,NA,NA,NA,NA,NA,NA,183,0,NA
Comoros,NA,NA,4.74,NA,NA,41.8,104.29334,-0.36962,35.38962,23.65814,91.42341,NA,0.5299525,19,NA,52.859554,0.15630842500000003,43.21333333333333,10.1108,23.41552,-0.87297,NA,NA,73,10,NA
Cuba,NA,NA,9.47,NA,NA,42.6,NA,NA,NA,NA,93.48444,NA,0.5639449999999999,NA,1.2294642857142857,27.661385714285714,0.56393,NA,NA,NA,NA,NA,NA,495,16,NA
Fiji,NA,NA,7.39,3.2857142857142856,0.33499999999999996,44.1,78.76668,7.09247,19.31667,6.21223,51.80619,NA,0.545914,9,NA,73.776256,0.25919024,NA,11.38979,16.56939,1.11947,NA,NA,149,NA,NA
Guyana,NA,NA,8.84,NA,NA,48.5,NA,NA,NA,NA,34.40421,NA,0.545914,NA,NA,83.849425,0.2728137,NA,NA,NA,NA,NA,NA,1477,3,NA
Haiti,NA,NA,7.26,NA,NA,46.1,NA,NA,NA,NA,229.24046,NA,0.545914,18,NA,58.215194,0.26809306,NA,NA,NA,NA,NA,NA,730,37,NA
Jamaica,NA,NA,6.6,3.7142857142857144,NA,54.3,NA,NA,NA,NA,83.97287,NA,0.76357,16,NA,70.98264833333333,0.5724762333333333,NA,NA,NA,NA,NA,NA,216,NA,NA
Papua_New_Guinea,NA,NA,16.87,2.4285714285714284,NA,29.6,64.65103,13.40343,7.87067,5.32613,5.46082,NA,0.545914,20,NA,68.08670833333333,0.2769179,NA,14.4622,31.89938,3.83449,NA,NA,528,NA,NA
Samoa,NA,NA,9.32,2.4285714285714284,NA,40.2,39.33332,5.50717,17.51536,3.84424,0,NA,0.545914,11,18.9,68.37325666666666,0.25038924,NA,12.16936,22.67784,2.1484,NA,NA,121,NA,NA
