geo_area_name,annual_mean_levels_of_fine_particulate_matter_population_weighted_by_location_micrograms_per_cubic_meter,countries_that_have_national_urban_policies_or_regional_development_plans_that_respond_to_population_dynamics_ensure_balanced_territorial_development_and_increase_local_fiscal_space_1_yes_0_no,direct_agriculture_loss_attributed_to_disasters_current_united_states_dollars,direct_economic_loss_attributed_to_disasters_current_united_states_dollars,direct_economic_loss_attributed_to_disasters_relative_to_gdp_percent,direct_economic_loss_in_the_housing_sector_attributed_to_disasters_current_united_states_dollars,direct_economic_loss_resulting_from_damaged_or_destroyed_critical_infrastructure_attributed_to_disasters_current_united_states_dollars,municipal_solid_waste_collection_coverage_by_cities_percent,number_of_damaged_critical_infrastructure_attributed_to_disasters_number,number_of_deaths_and_missing_persons_attributed_to_disasters_number,number_of_deaths_and_missing_persons_attributed_to_disasters_per_100_000_population_number,number_of_deaths_due_to_disaster_number,number_of_destroyed_or_damaged_educational_facilities_attributed_to_disasters_number,number_of_destroyed_or_damaged_health_facilities_attributed_to_disasters_number,number_of_directly_affected_persons_attributed_to_disasters_per_100_000_population_number,number_of_disruptions_to_basic_services_attributed_to_disasters_number,number_of_disruptions_to_educational_services_attributed_to_disasters_number,number_of_disruptions_to_health_services_attributed_to_disasters_number,number_of_disruptions_to_other_basic_services_attributed_to_disasters_number,number_of_injured_or_ill_people_attributed_to_disasters_number,number_of_local_governments_number,number_of_local_governments_that_adopt_and_implement_local_drr_strategies_in_line_with_national_strategies_number,number_of_missing_persons_due_to_disaster_number,number_of_other_destroyed_or_damaged_critical_infrastructure_units_and_facilities_attributed_to_disasters_number,number_of_people_affected_by_disaster_number,number_of_people_whose_damaged_dwellings_were_attributed_to_disasters_number,number_of_people_whose_destroyed_dwellings_were_attributed_to_disasters_number,number_of_people_whose_livelihoods_were_disrupted_or_destroyed_attributed_to_disasters_number,proportion_of_local_governments_that_adopt_and_implement_local_disaster_risk_reduction_strategies_in_line_with_national_disaster_risk_reduction_strategies_percent,proportion_of_urban_population_living_in_slums_percent,score_of_adoption_and_implementation_of_national_drr_strategies_in_line_with_the_sendai_framework,total_expenditure_per_capita_spent_on_cultural_and_natural_heritage_public_ppp_constant_2017_united_states_dollars
Antigua_and_Barbuda,19.365053333333332,0,22390.544,1954575,0.001407,1954575,68574,89,61,4,4.08601,4,4,1,888.70729,0,NA,NA,0,1,1,1,0,56,870,870,0,NA,100,NA,0.6,NA
Bahamas,16.293723333333332,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barbados,24.71145333333333,0,95209.708,524475,1.05e-4,524475,226116,NA,0,0,0,0,0,0,69.10925,26,0,10,16,1,0,0,0,0,192,191,0,0,0,NA,1,NA
Belize,20.637766666666668,0,755032.46619,12201365.96619,0.00886,10921237.5,525096,45.1,0,1,0.30281,1,0,0,0,2,0,1,1,0,NA,NA,0,0,0,0,0,0,NA,5,NA,NA
Cabo_Verde,62.37435333333333,1,43480.36,25950,1.5e-5,25950,115434,70.57,0,1,0.18605,1,0,0,1.67442,0,0,0,0,5,22,0,0,NA,9,0,4,NA,0,NA,0.7,NA
Comoros,15.371783333333333,1,696.79479,114434775,0.09783,114434775,NA,NA,0,6,0.70514,6,0,0,6895.0077,0,0,0,0,171,3,3,14,NA,58669,40021,18477,391,100,68.4,0,NA
Cook_Islands,8.86636,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,NA
Cuba,19.381083333333333,1,287.6,315.4,0,27,0.8,76.00999999999999,39,10,0.08819,10,18,21,219.26865,0,NA,NA,0,NA,NA,NA,0,NA,24861,23643,1218,NA,NA,6.6,NA,NA
Dominica,20.279463333333332,0,13967260.3752,116916,2.25e-4,59100,57816,NA,1,0,0,0,1,1,12.77738,0,NA,NA,0,1,NA,NA,0,NA,9,0,8,NA,NA,NA,NA,NA
Dominican_Republic,15.477123333333333,1,NA,NA,NA,NA,NA,89.00084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA
Fiji,10.702896666666668,1,12969859.75581,24247723.77723,0.005618,11277864.02142,8948205.42301,NA,0,18,2.01919,16,0,0,26594.23745,0,0,0,0,1221,13,0,2,0,237073,38553,14407,182892,0,11.2,0.975,NA
Grenada,22.367366666666666,0,NA,162525,2.09e-4,162525,934428,NA,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,0,0,0,0,0,0,NA,6,0.925,NA
Guinea-Bissau,54.40354333333333,0,NA,11850,8e-6,11850,NA,NA,0,1,0.05335,1,0,0,0.48018,0,0,0,0,1,NA,NA,0,NA,9,8,0,NA,NA,74.4,NA,NA
Guyana,23.68310333333333,0,97600632.3072,100144644.3072,0.024028,139500,2404512,73.35971,44,3,0.402,3,44,1,116.98289,0,NA,NA,0,803,NA,NA,0,NA,873,70,0,154,NA,31.1,0.6,NA
Haiti,17.694616666666665,0,NA,NA,NA,NA,NA,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,0.5,NA
Jamaica,14.72812,0,25533459.8112,119606124.8112,0.008078,85372875,8699790,NA,0,0,0,0,0,0,0,0,1,0,0,0,14,14,0,NA,0,0,0,NA,100,57.1,0.075,NA
