geo_area_name,countries_with_policy_instrument_for_sustainable_consumption_and_production_1_yes_0_no,countries_with_sustainable_consumption_and_production_scp_national_action_plans_or_scp_mainstreamed_as_a_priority_or_target_into_national_policies_1_yes_0_no,domestic_material_consumption_per_capita_by_type_of_raw_material_tonnes,domestic_material_consumption_per_unit_of_gdp_by_type_of_raw_material_kilograms_per_constant_2015_united_states_dollars,domestic_material_consumption_by_type_of_raw_material_tonnes,electronic_waste_collected_tonnes,electronic_waste_collected_per_capita_kg,electronic_waste_generated_tonnes,electronic_waste_generated_per_capita_kg,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_curricula,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_national_education_policies,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_student_assessment,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_teacher_education,food_waste_tonnes,food_waste_per_capita_kg,fossil_fuel_subsidies_consumption_and_production_billions_of_nominal_united_states_dollars,fossil_fuel_subsidies_consumption_and_production_as_a_proportion_of_total_gdp_percent,fossil_fuel_subsidies_consumption_and_production_per_capita_nominal_united_states_dollars,hazardous_waste_exported_tonnes,hazardous_waste_generated_tonnes,hazardous_waste_generated_per_capita_kg,hazardous_waste_generated_per_unit_of_gdp_kilograms_per_constant_2015_united_states_dollars,hazardous_waste_imported_tonnes,hazardous_waste_treated_or_disposed_tonnes,hazardous_waste_treated_or_disposed_rate_percent,hazardous_waste_treated_by_type_of_treatment_tonnes,implementation_of_standard_accounting_tools_to_monitor_the_economic_and_environmental_aspects_of_tourism_number_of_tables,implementation_of_standard_accounting_tools_to_monitor_the_economic_and_environmental_aspects_of_tourism_seea_tables,implementation_of_standard_accounting_tools_to_monitor_the_economic_and_environmental_aspects_of_tourism_tourism_satellite_account_tables,installed_renewable_electricity_generating_capacity_watts_per_capita,municipal_waste_collected_tonnes,municipal_waste_generated_tonnes,municipal_waste_recycled_tonnes,municipal_waste_treated_by_type_of_treatment_percent,number_of_companies_publishing_sustainability_reports_with_disclosure_by_dimension_by_level_of_requirement_number,number_of_countries_implementing_sustainable_public_procurement_policies_and_action_plans,number_of_policies_instruments_and_mechanism_in_place_for_sustainable_consumption_and_production_number,parties_meeting_their_commitments_and_obligations_in_transmitting_information_as_required_by_basel_convention_on_hazardous_waste_and_other_chemicals,parties_meeting_their_commitments_and_obligations_in_transmitting_information_as_required_by_minamata_convention_on_hazardous_waste_and_other_chemicals_percent,parties_meeting_their_commitments_and_obligations_in_transmitting_information_as_required_by_montreal_protocol_on_hazardous_waste_and_other_chemicals,parties_meeting_their_commitments_and_obligations_in_transmitting_information_as_required_by_rotterdam_convention_on_hazardous_waste_and_other_chemicals,parties_meeting_their_commitments_and_obligations_in_transmitting_information_as_required_by_stockholm_convention_on_hazardous_waste_and_other_chemicals,total_waste_generation_by_activity_tonnes
Antigua_and_Barbuda,1,1,0.9333761111111111,0.05612166666666667,136228.35276222223,NA,NA,NA,NA,NA,NA,NA,NA,3634.857493333333,37.43416666666667,0.01212,0.93123,123.72684,29.02,NA,NA,NA,NA,NA,NA,26.35,1,0,1,111.987,131990,NA,NA,100,NA,NA,8,20,33.33,100,39.66,25,36480
Barbados,1,1,0.3252805555555556,0.019439444444444443,128966.71295333334,NA,NA,NA,NA,NA,NA,NA,NA,10743.60556,37.43416666666667,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.04066666666667,NA,NA,NA,NA,NA,NA,2,80,NA,100,9.8,25,NA
Cuba,1,1,1.5213555555555556,0.18659666666666666,17561543.943628334,490.7,0.0433,NA,NA,1,1,1,0.95,437172.63339333335,38.57349,NA,NA,NA,174,261835,23.10278,0.00287,NA,261835,100,9813.666666666666,NA,NA,NA,42.315599999999996,5782100,NA,195800,63.75999666666667,NA,NA,16,100,33.33,100,86.21,37.5,4985500
Dominican_Republic,1,1,1.3253811111111111,0.15942944444444446,14828596.017447779,NA,NA,NA,NA,0.872,0.969,1,0.825,414240.6944033333,38.57349,6.5e-4,7.8e-4,0.05974,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,48.2864,NA,NA,NA,NA,NA,1,2,60,66.67,100,87.93,25,NA
Jamaica,1,1,1.2396994444444445,0.24458888888888888,4011826.016032222,NA,NA,NA,NA,NA,NA,NA,NA,113726.21653,38.57349,3.8e-4,0.0028,0.12676,1565,10000,3.63054,6.9e-4,0,8435,84.35,NA,1,0,1,34.2608,1464000,1012656.006,NA,50,NA,NA,2,40,NA,100,89.66,25,872044.006
Maldives,1,1,1.368068888888889,0.1340722222222222,884953.002725,NA,NA,NA,NA,NA,NA,NA,NA,20224.664563333336,38.08788333333334,0.05537,1.53797,102.4416,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,15.54825,325410.004,NA,NA,100,NA,NA,10,80,NA,100,65.52,50,125176.66733333333
Mauritius,1,1,1.5695233333333332,0.14740777777777778,2382539.1230711113,250000,197.70707,NA,NA,0.802,NA,0.833,0.9,55786.42836333333,43.9367,0.0459,0.40032,36.08957,900.44,21576,17.06291,0.00171,0,4883.34815,22.63324,1622.66667,0,0,0,79.2628,496729.004,NA,12000,50,NA,NA,24,20,66.67,100,96.55,62.5,160732.00233333334
Saint_Lucia,1,1,0.49627333333333334,0.04510055555555556,116710.36503944444,NA,NA,NA,NA,NA,NA,NA,NA,7051.233723333334,38.57349,0,0,0,147,NA,NA,NA,0,4730,NA,5410.25,0,0,0,20.885,79000,NA,NA,25,NA,NA,4,60,66.67,100,9.8,25,79000
Sao_Tome_and_Principe,1,1,0.3648283333333333,0.21787555555555554,92058.27541,NA,NA,NA,NA,NA,NA,NA,NA,10244.46731,47.62653666666667,0.00267,0.71525,12.18759,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,8.073333333333334,NA,NA,NA,NA,NA,NA,2,20,33.33,100,82.76,62.5,NA
Singapore,1,1,2.940160555555556,0.049215,19066494.917425554,NA,NA,NA,NA,NA,NA,NA,NA,229378.06323,39.51864333333333,8.39472,2.54313,1434.90994,44717.55078,450000,77.52815,0.00129,5790.25684,NA,NA,NA,0,0,0,37.4556,7234000,NA,4247000,16.505392,13.846153846153847,NA,6,100,66.67,100,98.28,37.5,4337000
