geo_area_name,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_curricula,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_national_education_policies,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_student_assessment,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_teacher_education,number_of_deaths_and_missing_persons_attributed_to_disasters_number,number_of_deaths_and_missing_persons_attributed_to_disasters_per_100_000_population_number,number_of_deaths_due_to_disaster_number,number_of_directly_affected_persons_attributed_to_disasters_per_100_000_population_number,number_of_injured_or_ill_people_attributed_to_disasters_number,number_of_least_developed_countries_and_small_island_developing_states_with_adaptation_communications_number,number_of_least_developed_countries_and_small_island_developing_states_with_biennial_update_reports_non_annex_i_parties_number,number_of_least_developed_countries_and_small_island_developing_states_with_national_adaptation_plans_number,number_of_least_developed_countries_and_small_island_developing_states_with_national_communications_non_annex_i_parties_number,number_of_least_developed_countries_and_small_island_developing_states_with_nationally_determined_contributions_number,number_of_local_governments_number,number_of_local_governments_that_adopt_and_implement_local_drr_strategies_in_line_with_national_strategies_number,number_of_missing_persons_due_to_disaster_number,number_of_people_affected_by_disaster_number,number_of_people_whose_damaged_dwellings_were_attributed_to_disasters_number,number_of_people_whose_destroyed_dwellings_were_attributed_to_disasters_number,number_of_people_whose_livelihoods_were_disrupted_or_destroyed_attributed_to_disasters_number,proportion_of_local_governments_that_adopt_and_implement_local_disaster_risk_reduction_strategies_in_line_with_national_disaster_risk_reduction_strategies_percent,score_of_adoption_and_implementation_of_national_drr_strategies_in_line_with_the_sendai_framework,total_greenhouse_gas_emissions_without_lulucf_for_non_annex_i_parties_mt_co2_equivalent
Cuba,1,1,1,0.95,10,0.08819,10,219.26865,NA,NA,NA,NA,NA,NA,NA,NA,0,24861,23643,1218,NA,NA,NA,36.29671
Dominican_Republic,0.872,0.969,1,0.825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.23077
Mauritius,0.802,NA,0.833,0.9,16,1.26408,16,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0.975,6.59127
Saint_Kitts_and_Nevis,0.612,0.575,0.833,0.8,2,3.93887,2,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
American_Samoa,NA,NA,NA,NA,0,0,0,420.3127,0,NA,NA,NA,NA,NA,NA,NA,0,232,224,8,NA,NA,NA,NA
Antigua_and_Barbuda,NA,NA,NA,NA,4,4.08601,4,888.70729,1,NA,NA,NA,NA,NA,1,1,0,870,870,0,NA,100,0.6,0.59775
Barbados,NA,NA,NA,NA,0,0,0,69.10925,1,NA,NA,NA,NA,NA,0,0,0,192,191,0,0,0,1,1.979
Belize,NA,NA,NA,NA,1,0.30281,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,1.20282
Cabo_Verde,NA,NA,NA,NA,1,0.18605,1,1.67442,5,NA,NA,NA,NA,NA,22,0,0,9,0,4,NA,0,0.7,0.44766
Comoros,NA,NA,NA,NA,6,0.70514,6,6895.0077,171,NA,NA,NA,NA,NA,3,3,14,58669,40021,18477,391,100,0,0.28505
Cook_Islands,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
Dominica,NA,NA,NA,NA,0,0,0,12.77738,1,NA,NA,NA,NA,NA,NA,NA,0,9,0,8,NA,NA,NA,0.21153
Fiji,NA,NA,NA,NA,18,2.01919,16,26594.23745,1221,NA,NA,NA,NA,NA,13,0,2,237073,38553,14407,182892,0,0.975,2.71007
