geo_area_name,average_marine_acidity_p_h_measured_at_agreed_suite_of_representative_sampling_stations,average_proportion_of_marine_key_biodiversity_areas_kb_as_covered_by_protected_areas_percent,beach_litter_originating_from_national_land_based_sources_that_ends_in_the_beach_percent,beach_litter_originating_from_national_land_based_sources_that_ends_in_the_beach_tonnes,beach_litter_originating_from_national_land_based_sources_that_ends_in_the_ocean_percent,beach_litter_originating_from_national_land_based_sources_that_ends_in_the_ocean_tonnes,beach_litter_per_square_kilometer_number,chlorophyll_a_anomaly_remote_sensing_percent,chlorophyll_a_deviations_remote_sensing_percent,coverage_of_protected_areas_in_relation_to_marine_areas_exclusive_economic_zones_percent,degree_of_application_of_a_legal_regulatory_policy_institutional_framework_which_recognizes_and_protects_access_rights_for_small_scale_fisheries_level_of_implementation_1_lowest_to_5_highest,exported_beach_litter_originating_from_national_land_based_sources_tonnes,national_ocean_science_expenditure_as_a_share_of_total_research_and_development_funding_percent,number_of_countries_using_ecosystem_based_approaches_to_managing_marine_areas_1_yes_0_no,progress_by_countries_in_the_degree_of_implementation_of_international_instruments_aiming_to_combat_illegal_unreported_and_unregulated_fishing_level_of_implementation_1_lowest_to_5_highest,proportion_of_fish_stocks_within_biologically_sustainable_levels_not_overexploited_percent,protected_marine_area_exclusive_economic_zones_square_kilometres,score_for_the_implementation_of_unclos_and_its_two_implementing_agreements_percent,score_for_the_ratification_of_and_accession_to_unclos_and_its_two_implementing_agreements_percent,sustainable_fisheries_as_a_proportion_of_gdp
Fiji,8.022,16.54845,69.97,2253,30.06,968,815794.74845,1.07636,1.76,0.91622,5,3220,NA,NA,5,NA,11847.00433,NA,NA,0.521349651091331
Mauritius,8.115,11.05903,34.97,57,65.03,106,1337025.68863,0.9592849999999999,0.37,0.00343,4,163,0.90417,NA,5,100,43.92635,73,100,NA
American_Samoa,NA,69.17842,NA,NA,NA,NA,NA,1.87486,5.6,8.72374,NA,NA,NA,NA,NA,NA,35489.58191,NA,NA,NA
Anguilla,NA,23.22441,NA,NA,NA,NA,NA,0.199465,0.33,0.0677,NA,NA,NA,NA,NA,NA,62.72756,NA,NA,1.27716315978771
Antigua_and_Barbuda,NA,18.84038,35.61,151,64.39,273,NA,0.36418666666666666,1.89,0.29995,5,424,NA,NA,3,100,325.41989,NA,NA,0.582285655527209
Aruba,NA,23.92445,NA,NA,NA,NA,NA,1.564395,1.94,1.1e-4,NA,NA,NA,NA,NA,NA,0.02651,NA,NA,NA
Bahamas,NA,30.26956,11.19,149,88.81,1183,498357.37321,0.163135,0.71,7.82091,4,1332,NA,NA,4,NA,46745.98374,NA,NA,0.429462647180001
Barbados,NA,2.85088,49.83,302,50.17,304,2485.46006,4.565636666666666,3.01,0.15996,NA,606,NA,NA,NA,NA,295.96054,NA,NA,0.0353039803338188
Belize,NA,31.22072,96.17,16390,3.83,653,1180477.5474,1.643,0.76,18.85834,5,17043,NA,1,3,100,6836.11877,67,100,0.640508599871566
"Bonaire,_Sint_Eustatius_and_Saba",NA,73.52863,NA,NA,NA,NA,2743364.14487,2.2513900000000002,0.94,99.98749,NA,NA,NA,NA,NA,30.55556,25109.21212,NA,NA,NA
British_Virgin_Islands,NA,6.06052,NA,NA,NA,NA,2499565.04089,0.31303000000000003,0.17,0.00413,NA,NA,NA,NA,NA,NA,3.32718,NA,NA,NA
Cabo_Verde,NA,14.11607,42.62,996,57.38,1341,164925.7834,1.63291,2.38,6.8e-4,5,2337,NA,NA,5,50,5.42316,NA,NA,0.333156268321501
Comoros,NA,12.99719,59.99,25582,40.01,17060,NA,0.48057,0.05,2.64851,NA,42643,NA,NA,NA,0,4383.42245,NA,NA,7.15436016226345
Cook_Islands,NA,50.07461,NA,NA,NA,NA,NA,0.48658,0.45,99.88169,NA,NA,NA,NA,NA,NA,1970508.3129,NA,NA,0.391763255029567
Cuba,NA,70.07105,NA,NA,NA,NA,6047124.32271,0.17191,0.12,4.01956,5,NA,NA,NA,5,96.15385,14701.77722,NA,NA,NA
Curaçao,NA,44.79493,NA,NA,NA,NA,1930485.93562,2.0471000000000004,1.29,0.03817,NA,NA,NA,NA,NA,NA,11.65638,NA,NA,NA
Dominica,NA,0,51.14,382,48.73,364,NA,2.45616,1.61,0.10743,3,747,NA,NA,NA,NA,30.88584,NA,NA,0.240948066499107
Dominican_Republic,NA,81.38698,58.19,77384,41.81,55594,4872619.69428,0.5576,0.13,16.62325,4,132978,NA,1,3,NA,45011.47853,NA,NA,NA
French_Polynesia,NA,0,NA,NA,NA,NA,1117647.05882,0.77217,0.41,0,NA,NA,NA,NA,NA,NA,0.19982,NA,NA,1.96569473558864
Grenada,NA,30.20605,61.91,595,38.09,366,3625093.1644,3.2964599999999997,6.93,0.10242,4,961,NA,NA,NA,NA,26.91799,NA,NA,0.699570560429882
Guam,NA,3.53065,NA,NA,NA,NA,72531.93847,0.13837,5.1,24.38847,NA,NA,NA,NA,NA,NA,49395.19805,NA,NA,NA
Guinea-Bissau,NA,50.68174,98.25,11830,1.75,211,NA,1.7640733333333334,6.23,2.22504,NA,12041,NA,NA,NA,NA,2369.81278,NA,NA,1.82632174318481
Haiti,NA,24.63193,59.07,84912,40.93,58845,NA,0.28468499999999997,2.65,2.66661,NA,143757,NA,NA,NA,NA,3303.05287,NA,NA,0.215203999016822
Jamaica,NA,14.36553,50.35,16981,49.65,16747,2404118.29836,0.31524,0.47,0.7546,5,33729,NA,1,2,NA,1859.99171,NA,NA,0.220705011425269
Kiribati,NA,32.92218,46.15,18,53.85,21,2485.46006,NA,NA,11.93233,2,39,NA,NA,1,NA,412754.95726,NA,NA,NA
Maldives,NA,0,50,115,50,115,1263127.40591,1.26547,0.45,0.08953,2,230,NA,NA,5,NA,825.52471,NA,NA,2.61426760183134
Marshall_Islands,NA,7.84666,NA,NA,NA,NA,1396071.35699,0.42963,0.17,0.26049,NA,NA,NA,NA,NA,100,5221.70052,NA,NA,10.0106703661893
Micronesia_(Federated_States_of),NA,1.60129,51.12,183,49.16,176,847000,0.529405,0.86,0.01589,NA,358,NA,NA,4,NA,478.70444,NA,NA,9.35743
Montserrat,NA,9.00299,NA,NA,NA,NA,NA,5.110865,2.67,0,NA,NA,NA,NA,NA,NA,2.7e-4,NA,NA,0.1199416556583
Nauru,NA,0,NA,NA,NA,NA,NA,2.742265,1.75,0,3,NA,NA,NA,5,NA,0,NA,NA,NA
New_Caledonia,NA,63.64249,NA,NA,NA,NA,2433701.65746,1.73982,1.55,95.66247,NA,NA,NA,NA,NA,NA,1312300.75214,NA,NA,NA
Northern_Mariana_Islands,NA,48.02953,NA,NA,NA,NA,174239.8768,NA,NA,26.79034,NA,NA,NA,NA,NA,NA,207268.26892,NA,NA,NA
Palau,NA,72.2526,58.02,47,41.98,34,509131.52017,1.1878199999999999,2.13,100.00097,3,81,NA,NA,1,NA,608158.37446,NA,NA,1.29619430736557
Papua_New_Guinea,NA,1.89212,80.81,37386,19.19,8880,NA,1.42432,1.42,0.13889,NA,46266,NA,NA,NA,NA,3343.67916,NA,NA,NA
Puerto_Rico,NA,38.2384,42.06,286,57.94,394,684838.08524,0.534695,0.46,1.81716,NA,680,NA,NA,NA,NA,3201.1557,NA,NA,NA
Saint_Kitts_and_Nevis,NA,51.71852,40.35,23,59.65,34,1538667.06849,2.16022,6.63,3.97753,4,57,NA,NA,4,NA,408.2106,NA,NA,0.15878
Saint_Lucia,NA,26.24672,53.65,1639,46.35,1416,1982561.26345,4.03368,1.66,0.21306,NA,3055,NA,1,NA,NA,33.15225,NA,NA,NA
Saint_Vincent_and_the_Grenadines,NA,26.32789,56.79,477,43.21,363,4061116.47415,2.18164,8.29,0.21694,4,840,NA,NA,4,NA,79.20693,NA,NA,0.024021999999
Samoa,NA,54.15499,60.8,788,39.2,508,2434888.33429,1.4904,0.18,0.07198,5,1296,NA,NA,3,NA,95.23247,NA,NA,1.66921352464338
Sao_Tome_and_Principe,NA,92.33666,97.16,1332,2.84,39,53106.74456,0.909355,0.67,0.02679,5,1371,NA,NA,3,NA,35.28161,NA,NA,4.61455206994263
Seychelles,NA,71.86864,44.9,22,55.1,27,35039.54394,2.169135,0.86,32.81433,4,49,NA,NA,4,30,439987.47238,NA,NA,0.561003667579145
Singapore,NA,3.25343,NA,NA,NA,NA,5545934.88929,NA,NA,0.01318,NA,NA,NA,1,NA,NA,0.10055,NA,NA,NA
Sint_Maarten_(Dutch_part),NA,6.37453,NA,NA,NA,NA,544322.51731,NA,NA,8.72647,NA,NA,NA,NA,NA,NA,43.41715,NA,NA,NA
Small_island_developing_States_(SIDS),NA,28.46538,76.76,379252,23.24,205671,38568.87952,2.4567300000000003,2.18,15.56002,4,584926,NA,NA,3,NA,5346183.13181,NA,NA,0.458684625319645
Solomon_Islands,NA,3.22009,72.41,30405,27.59,11587,NA,1.5087650000000001,1.72,0.09566,4,41992,NA,NA,3,NA,1539.82222,NA,NA,NA
Suriname,NA,74.24457,74.86,11041,25.14,3707,659674.15348,4.473686666666667,4.7,1.54475,4,14748,NA,1,2,NA,1982.88989,37,67,1.41734381655002
Timor-Leste,NA,19.6113,51.26,6093,48.74,5793,172592.3369,3.1157000000000004,3.01,1.36754,NA,11886,NA,NA,NA,NA,581.22242,NA,NA,NA
Tonga,NA,19.16825,50.77,232,49.02,224,630050.50505,0.768645,2.66,0.05003,5,457,NA,NA,3,NA,334.20715,NA,NA,1.61839027630501
Trinidad_and_Tobago,NA,8.49055,70.33,35383,29.67,14927,3285571.06571,5.343546666666667,3.79,0.01248,4,50310,NA,1,2,31.25,9.45562,NA,NA,0.0385573122356385
United_States_Virgin_Islands,NA,40.26782,NA,NA,NA,NA,453534.4669,0.53503,1.22,0.85213,NA,NA,NA,NA,NA,NA,307.02391,NA,NA,NA
Vanuatu,NA,3.30063,72,931,27.92,361,696651.12936,2.40674,5.99,0.08748,3,1293,NA,NA,4,NA,544.19089,NA,NA,0.413628495848274
Guyana,NA,NA,83,14887,17,3050,4524475.23993,4.39645,3.16,NA,3,17937,NA,1,2,NA,NA,65,67,0.631805135590532
Niue,NA,NA,NA,NA,NA,NA,NA,2.018105,0.7,40.23395,NA,NA,NA,NA,NA,NA,128041.99392,NA,NA,NA
Tuvalu,NA,NA,NA,NA,NA,NA,NA,0.735835,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
