geo_area_name,above_ground_biomass_in_forest_tonnes_per_hectare,annual_forest_area_change_rate_percent,average_proportion_of_freshwater_key_biodiversity_areas_kb_as_covered_by_protected_areas_percent,average_proportion_of_mountain_key_biodiversity_areas_kb_as_covered_by_protected_areas_percent,average_proportion_of_terrestrial_key_biodiversity_areas_kb_as_covered_by_protected_areas_percent,countries_that_are_contracting_parties_to_the_international_treaty_on_plant_genetic_resources_for_food_and_agriculture_pgrfa_1_yes_0_no,countries_that_are_parties_to_the_nagoya_protocol_1_yes_0_no,countries_that_established_national_targets_in_accordance_with_aichi_biodiversity_target_2_of_the_strategic_plan_for_biodiversity_2011_2020_in_their_national_biodiversity_strategy_and_action_plans_1_yes_0_no,countries_that_have_legislative_administrative_and_policy_framework_or_measures_reported_through_the_online_reporting_system_on_compliance_of_the_international_treaty_on_plant_genetic_resources_for_food_and_agriculture_pgrfa_1_yes_0_no,countries_that_have_legislative_administrative_and_policy_framework_or_measures_reported_to_the_access_and_benefit_sharing_clearing_house_1_yes_0_no,countries_with_an_allocation_from_the_national_budget_to_manage_the_threat_of_invasive_alien_species_1_yes_0_no,countries_with_integrated_biodiversity_values_into_national_accounting_and_reporting_systems_defined_as_implementation_of_the_system_of_environmental_economic_accounting_1_yes_0_no,forest_area_thousands_of_hectares,forest_area_as_a_proportion_of_total_land_area_percent,forest_area_under_an_independently_verified_forest_management_certification_scheme_thousands_of_hectares,land_area_thousands_of_hectares,legislation_regulation_act_related_to_the_prevention_of_introduction_and_management_of_invasive_alien_species_1_yes_0_no,mountain_green_cover_index,national_biodiversity_strategy_and_action_plan_nbsap_targets_alignment_to_aichi_biodiversity_target_9_set_out_in_the_strategic_plan_for_biodiversity_2011_2020_1_yes_0_no,proportion_of_countries_with_allocation_from_the_national_budget_to_manage_the_threat_of_invasive_alien_species_percent,proportion_of_countries_with_national_biodiversity_strategy_and_action_plan_nbsap_targets_alignment_to_aichi_biodiversity_target_9_set_out_in_the_strategic_plan_for_biodiversity_2011_2020_percent,proportion_of_forest_area_with_a_long_term_management_plan_percent,proportion_of_forest_area_within_legally_established_protected_areas_percent,proportion_of_land_that_is_degraded_over_total_land_area_percent,proportion_of_recipient_countries_of_global_funding_with_access_to_any_funding_from_global_financial_mechanisms_for_projects_related_to_invasive_alien_species_management_percent,recipient_countries_of_global_funding_with_access_to_any_funding_from_global_financial_mechanisms_for_projects_related_to_invasive_alien_species_management_1_yes_0_no,red_list_index,total_official_development_assistance_for_biodiversity_by_donor_countries_millions_of_constant_2018_united_states_dollars,total_official_development_assistance_for_biodiversity_by_recipient_countries_millions_of_constant_2018_united_states_dollars,total_reported_number_of_standard_material_transfer_agreements_smt_as_transferring_plant_genetic_resources_for_food_and_agriculture_to_the_country_number
American_Samoa,150.79,-0.17346,0,90.95176,71.11919,0,NA,NA,0,NA,0,NA,17.13,85.65,0,20,NA,NA,NA,NA,NA,14.9884,14.9884,NA,NA,0,0.863,NA,NA,0
Anguilla,210,0,0,0,18.57953,0,NA,NA,0,NA,0,NA,5.5,61.11111,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.92149,NA,NA,0
Antigua_and_Barbuda,210,-0.77842,0,0,14.00814,1,1,1,0,1,1,NA,8.12,18.45455,0,44,1,NA,1,NA,NA,NA,NA,NA,NA,1,0.88497,NA,0.13268,0
Bahamas,39.8,0,0,0,29.8282,0,1,1,0,0,0,NA,509.86,50.93506,0,1001,1,NA,0,NA,NA,NA,NA,NA,NA,1,0.69516,NA,NA,1
Belize,211,-0.85384,15.25233,87.10586,43.26192,0,0,1,0,0,0,NA,1277.05,55.98641,101.813,2281,1,100,1,NA,NA,NA,56.8137,81,NA,0,0.76991,NA,0.21266,14
British_Virgin_Islands,210,-0.05508,0,0,7.36553,0,NA,NA,0,NA,NA,NA,3.62,24.13333,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76098,NA,NA,0
Cabo_Verde,95,0.68099,0,11.96761,12.02786,0,0,1,0,0,NA,NA,45.72,11.34491,0,403,1,60.268,1,NA,NA,NA,7.8019,17,NA,NA,0.90582,NA,0.62617,0
Comoros,66,-1.24136,100,74.97124,57.40174,0,1,1,0,1,0,NA,32.92,17.68941,0,186.1,1,NA,1,NA,NA,16.8328,0,22,NA,1,0.74301,NA,2.99791,5
Cuba,113.59,1.01012,98.19023,70.33939,54.47876,1,1,1,1,0,1,NA,3242,31.23314,0,10380,1,99.8825,1,NA,NA,80.5242,20.3518,NA,NA,1,0.6608,NA,40.83872,68
Curaçao,79,0,0,0,44.79493,0,NA,NA,0,NA,NA,NA,0.07,0.15766,0,44.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8529,NA,NA,0
Dominican_Republic,82.7,0.33722,95.45028,83.24613,76.92085,0,1,1,0,1,1,1,2144.1,44.38212,0,4831,1,99.708,1,NA,NA,NA,NA,NA,NA,NA,0.73032,NA,12.24183,42
Fiji,202.79,0.60546,0.12804,5.46863,11.17775,1,1,1,1,0,1,1,1140.02,62.39847,83.368,1827,1,99.78333333333333,0,NA,NA,NA,NA,NA,NA,1,0.69672,NA,2.69561,41
French_Polynesia,148.92,0,0,0,0,0,NA,NA,0,NA,NA,NA,149.46,43.05964,0,347.1,NA,NA,NA,NA,NA,NA,4.9512,NA,NA,NA,0.71229,NA,NA,0
Grenada,109.4,0,0,62.80403,34.45032,0,0,1,0,0,1,NA,17.7,52.05882,0,34,1,100,1,NA,NA,NA,13.1073,NA,NA,0,0.68464,NA,0.18148,2
Guam,112,1.55345,0,0,2.35377,0,NA,NA,0,NA,NA,NA,28,51.85185,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37661,NA,NA,0
Guinea-Bissau,84,-0.41665,0,0,59.48247,1,1,1,0,0,0,NA,1980.01,70.41287,0,2812,1,NA,1,NA,NA,1.2857,1.2857,15,NA,0,0.9186,NA,52.79355,3
Guyana,498.96,-0.05655,NA,NA,NA,1,1,1,1,0,NA,NA,18415.34,93.55011,570.075,19685,1,97.6675,1,NA,NA,84.4304,5.4059,16,NA,NA,0.87517,NA,0.6107,46
Haiti,94.53,-0.85344,83.9278,34.02933,31.71333,0,0,1,0,0,NA,NA,347.3,12.6016,0,2756,1,99.84,0,NA,NA,NA,8.7447,NA,NA,NA,0.71581,NA,23.84362,56
Jamaica,158.5,0.6679,27.7704,15.11843,15.9476,1,0,1,0,0,0,NA,596.89,55.1145,0,1083,1,95.735,1,NA,NA,18.9398,22.8605,NA,NA,1,0.66256,NA,1.72972,50
Maldives,135,0,0,0,0,1,1,1,0,0,0,NA,0.82,2.73333,0,30,1,NA,1,NA,NA,NA,NA,NA,NA,0,0.83675,NA,0.33332,0
Marshall_Islands,132.13,0,0,0,10.11314,1,1,1,0,0,NA,NA,9.4,52.22222,0,18,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0.83597,NA,0.10239,3
Mauritius,124.18,0.09855,0,12.9801,9.63852,1,1,1,1,0,1,1,38.77,19.09852,0,203,1,92.91,1,NA,NA,21.5927,38.7206,27,NA,1,0.4029,NA,77.4104,24
Micronesia_(Federated_States_of),500.39,0.04513,0,0,0.02395,0,1,1,0,0,NA,1,64.42,92.02857,0,70,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.64147,NA,1.1585,1
Nauru,0,NA,0,0,0,0,0,1,0,0,NA,NA,0,0,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,NA,0.7645,NA,0.06499,1
New_Caledonia,146,-0.01193,0,26.3515,42.22323,0,NA,NA,0,NA,NA,NA,838.02,45.84354,0,1828,NA,NA,NA,NA,NA,NA,10.8131,NA,NA,NA,0.63655,NA,NA,0
Niue,112.05,0.05315,0,0,95.27693,0,0,1,0,0,NA,NA,18.87,72.57692,0,26,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.81004,NA,0.01492,1
Palau,416.21,0.20762,0,0,48.0554,1,1,1,0,0,1,NA,41.41,90.02174,0,46,1,NA,1,NA,NA,NA,NA,NA,NA,1,0.68816,NA,1.90204,1
Papua_New_Guinea,176,-0.08967,0,7.38404,7.30653,1,0,1,1,0,1,NA,35855.76,79.17626,15.054,45286,1,93.72833333333334,0,NA,NA,13.9791,3.7752,21,NA,1,0.82951,NA,191.42344,17
Puerto_Rico,80.55,0.09886,63.77832,29.40328,33.03488,0,NA,NA,0,NA,NA,NA,496.33,55.95603,0,887,NA,NA,NA,NA,NA,NA,9.8587,NA,NA,NA,0.67606,NA,NA,0
Saint_Kitts_and_Nevis,210,0,0,0,56.81993,0,1,1,0,0,NA,NA,11,42.30769,0,26,1,NA,1,NA,NA,NA,NA,NA,NA,NA,0.73152,NA,15.91496,0
Saint_Lucia,294.02,0,0,63.01719,45.5615,1,0,1,0,0,1,NA,20.77,34.04918,0,61,1,99.79,1,NA,NA,NA,44.8243,NA,NA,0,0.80414,NA,0.13779,1
Saint_Vincent_and_the_Grenadines,219.13,0,0,73.589340000000007,45.63611,0,0,1,0,0,NA,NA,28.54,73.17949,0,39,1,80.67,1,NA,NA,15.8725,46.0056,NA,NA,NA,0.75541,NA,0.30147,3
Samoa,105,-0.29335,0,35.65593,47.05007,1,1,1,0,0,1,1,161.67,57.12721,0,283,1,99.92,1,NA,NA,NA,11.5499,NA,NA,1,0.76056,NA,0.4169,3
Sao_Tome_and_Principe,162.5,-1.12213,92.82172,73.57205,86.26647,1,1,1,0,0,0,NA,51.9,54.0625,0,96,1,100,1,NA,NA,NA,53.6364,NA,NA,0,0.78488,NA,0.52499,0
Seychelles,172.81,0,100,71.0696,52.79017,1,1,1,1,0,1,NA,33.7,73.26087,0,46,1,100,1,NA,NA,NA,NA,12,NA,0,0.66875,NA,0.08208,0
Singapore,135.71,-1.2965,0,0,21.14343,0,0,1,0,0,1,NA,15.57,21.74581,0,71.6,1,NA,1,NA,NA,NA,20.3383,NA,NA,0,0.84956,NA,NA,40
Small_island_developing_States_(SIDS),266.74118,-0.04,61.34164,25.41695,27.10706,20,21,15.6,7,3,NA,2.5,87088.97,73.25061,831.407,118891.8,NA,93.76166666666666,NA,56,79,36.85862,7.6578,NA,67,NA,0.69862,441.3514,NA,494
Solomon_Islands,95.78,-0.02893,0,0.11035,4.59928,0,1,1,0,0,1,NA,2522.97,90.13826,39.377,2799,1,NA,1,NA,NA,98.4636,1.2744,NA,NA,0,0.75832,NA,3.04976,5
Suriname,362.88,-0.0679,49.40437,34.91311,51.1899,0,0,1,0,0,0,NA,15196.29,97.41212,21.72,15600,1,NA,0,NA,NA,29.6823,12.3941,21,NA,0,0.9866,NA,0.01427,31
Timor-Leste,150,-0.15073,0,50.78691,45.57813,0,0,1,0,0,NA,NA,921.1,61.94351,0,1487,1,99.764,1,NA,NA,NA,NA,NA,NA,NA,0.8471,NA,11.18758,12
Tonga,194.44,0,0,0,26.0737,1,1,1,0,0,1,NA,8.95,12.43056,0,72,1,NA,0,NA,NA,22.3464,NA,NA,NA,1,0.72179,NA,0.2878,0
Trinidad_and_Tobago,90.17,-0.18308,0,45.06216,32.00296,1,0,1,0,0,NA,NA,228.19,44.48148,0,513,1,100,1,NA,NA,NA,8.4676,NA,NA,NA,0.80044,NA,0.00778,5
