geo_area_name,bribery_incidence_percent_of_firms_experiencing_at_least_one_bribe_payment_request,countries_with_national_human_rights_institutions_and_no_status_with_the_paris_principles_c_status_1_yes_0_no,countries_with_national_human_rights_institutions_in_compliance_with_the_paris_principles_a_status_1_yes_0_no,countries_with_national_human_rights_institutions_not_fully_compliant_with_the_paris_principles_b_status_1_yes_0_no,countries_with_no_application_for_accreditation_with_the_paris_principles_d_status_1_yes_0_no,detected_victims_of_human_trafficking_for_forced_labour_servitude_and_slavery_by_age_and_sex_number,detected_victims_of_human_trafficking_for_other_purposes_by_age_and_sex_number,detected_victims_of_human_trafficking_for_removal_of_organ_by_age_and_sex_number,detected_victims_of_human_trafficking_for_sexual_exploitaton_by_age_and_sex_number,detected_victims_of_human_trafficking_by_age_and_sex_number,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_joint_committees,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_lower_chamber_or_unicameral,number_of_chairs_of_permanent_committees_by_age_sex_and_focus_of_the_committee_upper_chamber,number_of_speakers_in_parliament_by_age_and_sex_lower_chamber_or_unicameral,number_of_speakers_in_parliament_by_age_and_sex_upper_chamber,number_of_victims_of_intentional_homicide_per_100_000_population_by_sex_victims_per_100_000_population,number_of_victims_of_intentional_homicide_by_sex_number,number_of_youth_in_parliament_age_45_or_below_lower_chamber_or_unicameral_number,number_of_youth_in_parliament_age_45_or_below_upper_chamber_number,police_reporting_rate_for_physical_assault_by_sex_percent,police_reporting_rate_for_robbery_by_sex_percent,police_reporting_rate_for_sexual_assault_by_sex_percent,prevalence_rate_of_bribery_by_sex_percent,primary_government_expenditures_as_a_proportion_of_original_approved_budget_percent,proportion_of_children_aged_1_14_years_who_experienced_physical_punishment_and_or_psychological_aggression_by_caregivers_in_last_month_percent_of_children_aged_1_14_years,proportion_of_children_under_5_years_of_age_whose_births_have_been_registered_with_a_civil_authority_percent_of_children_under_5_years_of_age,proportion_of_countries_that_applied_for_accreditation_as_independent_national_human_rights_institutions_in_compliance_with_the_paris_principles_percent,proportion_of_countries_with_independent_national_human_rights_institutions_in_compliance_with_the_paris_principles_percent,proportion_of_members_of_developing_countries_in_international_organizations_by_organization_percent,proportion_of_population_aged_18_29_years_who_experienced_sexual_violence_by_age_18_by_sex_percent_of_population_aged_18_29,proportion_of_population_reporting_having_felt_discriminated_against_by_grounds_of_discrimination_sex_and_disability_percent,proportion_of_population_subjected_to_physical_violence_in_the_previous_12_months_by_sex_percent,proportion_of_population_subjected_to_robbery_in_the_previous_12_months_by_sex_percent,proportion_of_population_subjected_to_sexual_violence_in_the_previous_12_months_by_sex_percent,proportion_of_population_that_feel_safe_walking_alone_around_the_area_they_live_percent,proportion_of_seized_found_or_surrendered_arms_whose_illicit_origin_or_context_has_been_traced_or_established_by_a_competent_authority_in_line_with_international_instruments,proportion_of_voting_rights_of_developing_countries_in_international_organizations_by_organization_percent,proportion_of_youth_in_parliament_age_45_or_below_lower_chamber_or_unicameral_percent,proportion_of_youth_in_parliament_age_45_or_below_upper_chamber_percent,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_constitutional_court_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_higher_courts_ratio,proportions_of_positions_in_the_judiciary_compared_to_national_distributions_lower_courts_ratio,proportions_of_positions_in_the_public_service_compared_to_national_distributions_ratio,ratio_for_female_members_of_parliaments_ratio_of_the_proportion_of_women_in_parliament_in_the_proportion_of_women_in_the_national_population_with_the_age_of_eligibility_as_a_lower_bound_boundary_lower_chamber_or_unicameral,ratio_for_female_members_of_parliaments_ratio_of_the_proportion_of_women_in_parliament_in_the_proportion_of_women_in_the_national_population_with_the_age_of_eligibility_as_a_lower_bound_boundary_upper_chamber,ratio_of_young_members_in_parliament_ratio_of_the_proportion_of_young_members_in_parliament_age_45_or_below_in_the_proportion_of_the_national_population_age_45_or_below_with_the_age_of_eligibility_as_a_lower_bound_boundary_lower_chamber_or_unicameral,ratio_of_young_members_in_parliament_ratio_of_the_proportion_of_young_members_in_parliament_age_45_or_below_in_the_proportion_of_the_national_population_age_45_or_below_with_the_age_of_eligibility_as_a_lower_bound_boundary_upper_chamber,unsentenced_detainees_as_a_proportion_of_overall_prison_population_percent
Antigua_and_Barbuda,6.88,1,NA,NA,1,NA,NA,NA,NA,8,NA,0,0,1,1,19.100705,8,NA,NA,NA,NA,NA,NA,95.49378,NA,NA,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,8,0.24937302,NA,NA,NA,NA,NA,NA,NA,0.21055,1.00321,NA,NA,43.7
Bahamas,21,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,1,1,32.814175,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5299525,NA,NA,NA,NA,NA,NA,100,0.177207075,NA,NA,NA,NA,NA,NA,NA,0.24516,0.82612,NA,NA,34.1
Barbados,1.2,1,NA,NA,1,NA,NA,NA,2.5,5,NA,NA,NA,1,1,10.012995,14,NA,NA,NA,63,8,NA,NA,75.1,98.61666666666667,NA,NA,0.545914,NA,NA,NA,2,1,NA,NA,0.25718086,NA,NA,NA,NA,NA,NA,NA,0.38129,0.81704,NA,NA,56.1
Belize,6.21,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.6,0.2,1,1,37.889475000000004,71,NA,NA,NA,NA,NA,NA,89.09556,65.1,95.53333333333333,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.24970896,NA,NA,NA,NA,NA,NA,1.05076,0.24616,0.7033,NA,NA,67.6
Cabo_Verde,2.01,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6.60996,18,33,NA,50.13333333333333,52.03333333333333,NA,1.2333333333333334,82.5527,NA,91.4,NA,NA,0.545914,NA,NA,3.566666666666667,2.3333333333333335,NA,0.52,NA,0.2500895,45.83,NA,NA,NA,NA,NA,NA,0.52815,NA,0.65923,NA,NA
Dominica,5.83,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,9.5,NA,NA,NA,NA,NA,NA,89.29452,NA,NA,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.24912842000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3
Dominican_Republic,12.34,NA,NA,NA,1,4,1,0,NA,25,NA,1,1,1,1,10.050855,534,NA,NA,NA,NA,NA,NA,97.3591,63.47514,92.23333333333333,NA,NA,0.545914,1.3,NA,4.4,NA,NA,NA,NA,0.29195042,NA,NA,NA,NA,NA,NA,NA,0.54827,0.24569,NA,NA,51.5
Fiji,10.5,NA,1,NA,1,NA,NA,NA,NA,3,NA,0.75,NA,1,NA,2.316945,10,10,NA,NA,NA,NA,NA,94.83535,80.5,86.6,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.25919024,19.61,NA,NA,NA,NA,NA,NA,0.43439,NA,0.30991,NA,25.9
Grenada,6.61,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0.2,0,1,1,10.76473,6,NA,NA,NA,NA,NA,NA,73.22288,NA,NA,NA,NA,0.545914,13.7,NA,NA,NA,NA,NA,65,0.24979004,NA,NA,NA,NA,NA,NA,NA,0.93384,0.30786,NA,NA,19.6
Guinea-Bissau,27.63,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.4643,75.8,45.9,NA,NA,0.545914,NA,NA,NA,NA,NA,NA,NA,0.24937972,NA,NA,NA,NA,NA,NA,NA,0.26201,NA,NA,NA,NA
Guyana,14.88,NA,NA,NA,1,1,0,NA,NA,110,NA,0.6,NA,1,NA,14.21708,55.5,31,NA,50,25,NA,2.5,105.68289,69.7,90.41666666666667,NA,NA,0.545914,NA,NA,4.2,8.5,6.5,NA,NA,0.2728137,46.27,NA,1.385,1.415,1.33,1.39,NA,0.71302,NA,0.75008,NA,32
Jamaica,19.3,NA,NA,NA,1,0.5,0,NA,NA,5,NA,0.5,0,1,1,56.688289999999995,823.5,NA,7,NA,43.1,66,4.3,99.6322,84.5,97.91666666666667,NA,NA,0.76357,2.3,NA,0.3,0.6,0.1,0.89,NA,0.5724762333333333,NA,33.33,NA,NA,NA,NA,NA,0.55981,0.74641,NA,0.58785,29.4
