geo_area_name,amount_of_tracked_exported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_imported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_re_exported_environmentally_sound_technologies_current_united_states_dollars,amount_of_tracked_re_imported_environmentally_sound_technologies_current_united_states_dollars,amount_of_united_states_dollars_committed_to_public_private_partnerships_for_infrastructure_million_usd_nominal,amount_of_united_states_dollars_committed_to_public_private_partnerships_for_infrastructure_million_usd_real,annual_broad_money_growth_percent,annual_gdp_growth_percent,annual_growth_of_exports_of_goods_and_services_percent,annual_growth_of_households_and_npis_hs_final_consumption_expenditure_percent,annual_growth_of_imports_of_goods_and_services_percent,annual_growth_of_the_general_government_final_consumption_expenditure_percent,annual_growth_of_the_gross_capital_formation_percent,annual_inflation_consumer_prices_percent,average_tariff_applied_by_developed_countries_most_favored_nation_status_by_type_of_product_percent,average_tariff_applied_by_developed_countries_preferential_status_by_type_of_product_percent,bank_capital_to_assets_ratio_percent,broad_money_to_total_reserves_ratio,cash_surplus_deficit_as_a_proportion_of_gdp_percent,countries_that_have_conducted_at_least_one_population_and_housing_census_in_the_last_10_years_1_yes_0_no,countries_with_birth_registration_data_that_are_at_least_90_percent_complete_1_yes_0_no,countries_with_death_registration_data_that_are_at_least_75_percent_complete_1_yes_0_no,countries_with_national_statistical_legislation_exists_that_complies_with_the_fundamental_principles_of_official_statistics_1_yes_0_no,countries_with_national_statistical_plans_that_are_fully_funded_1_yes_0_no,countries_with_national_statistical_plans_that_are_under_implementation_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_donors_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_government_1_yes_0_no,countries_with_national_statistical_plans_with_funding_from_others_1_yes_0_no,current_account_balance_as_a_proportion_of_gdp_percent,debt_service_as_a_proportion_of_exports_of_goods_and_services_percent,dec_alternative_conversion_factor_in_local_currency_unit_per_united_states_dollar,dollar_value_of_all_resources_made_available_to_strengthen_statistical_capacity_in_developing_countries_current_united_states_dollars,extent_of_use_of_country_owned_results_frameworks_and_planning_tools_by_providers_of_development_cooperation_data_by_recipient_percent,external_debt_stocks_as_a_proportion_of_gni_percent,fixed_internet_broadband_subscriptions_per_100_inhabitants_by_speed_per_100_inhabitants,foreign_direct_investment_fdi_inflows_millions_of_us_dollars,foreign_direct_investment_net_inflows_as_a_proportion_of_gdp_percent,gross_public_sector_debt_central_government_as_a_proportion_of_gdp_percent,internet_users_per_100_inhabitants,merchandise_trade_as_a_proportion_of_gdp_percent,number_of_countries_reporting_progress_in_multi_stakeholder_development_effectiveness_monitoring_frameworks_that_support_the_achievement_of_the_sustainable_development_goals_recipient_1_yes_0_no,number_of_fixed_internet_broadband_subscriptions_by_speed_number,portfolio_investment_net_balance_of_payments_current_united_states_dollars,proportion_of_domestic_budget_funded_by_domestic_taxes_percent_of_gdp,proportion_of_project_objectives_in_new_development_interventions_drawn_from_country_led_result_frameworks_data_by_recipient_percent,proportion_of_results_indicators_drawn_from_country_led_results_frameworks_data_by_recipient_percent,proportion_of_results_indicators_which_will_be_monitored_using_government_sources_and_monitoring_systems_data_by_recipient_percent,tax_revenue_as_a_proportion_of_gdp_percent,total_government_revenue_budgetary_central_government_as_a_proportion_of_gdp_percent,total_government_revenue_in_local_currency,total_official_development_assistance_gross_disbursement_for_technical_cooperation_millions_of_2019_united_states_dollars,total_reserves_in_months_of_imports_ratio,volume_of_remittances_in_united_states_dollars_as_a_proportion_of_total_gdp_percent,worldwide_weighted_tariff_average_most_favoured_nation_status_by_type_of_product_percent,worldwide_weighted_tariff_average_preferential_status_by_type_of_product_percent
Antigua_and_Barbuda,203011,35049986,136601,NA,NA,NA,-8.71953,-20.19237,NA,NA,NA,NA,NA,0.62599,5.100086,2.220418,9.85103,5.88592,NA,1,1,1,0,1,1,NA,1,NA,-18.35482,NA,2.7,27022.32,NA,NA,8.16918,22.36707,5.36587,NA,73,37.6565,NA,9000,-42218679.63608,74.05951,NA,NA,NA,NA,19.63999,678.82892,4.16457,3.3405300000000002,2.65139,17.715007142857143,16.486225714285712
Aruba,1599120,54496998,NA,NA,NA,NA,4.87154,2,NA,NA,NA,NA,NA,4.25746,9.178364,6.4372419999999995,NA,2.20777,NA,1,1,1,NA,NA,NA,NA,NA,NA,-0.46023,NA,1.79,NA,NA,NA,17.79593,113.71012,4.24463,NA,97.17,50.54727,NA,19000,-193276853.5756,NA,NA,NA,NA,NA,NA,NA,NA,8.03308,1.15297,10.085305,10.085305
Bahamas,21688732,178464309,13818598,NA,NA,NA,1.32542,-14.51448,-43.74163,-5.60106,-43.92514,-16.91121,-36.10678,0.03852,4.170578333333333,2.167125,NA,4.91796,-1.66594,1,0,1,NA,NA,0,NA,NA,NA,-20.84186,NA,1,64059.57,NA,NA,21.10649,896.78392,3.62672,NA,87,23.1239,NA,54863.333333333336,-123810000,64.10906,NA,NA,NA,16.70185,18.55091,2086.92831,NA,6.87497,NA,15.935697142857142,15.476072857142858
Barbados,14450405,109572262,1753007,NA,NA,NA,-0.18861,-18.97951,NA,NA,NA,NA,NA,4.10029,10.38524,2.1108683333333333,NA,10.59653,-5.40315,1,1,1,1,0,0,NA,1,NA,-9.37922,NA,2,145992.44,NA,NA,44.5411,262.1,5.93255,NA,81.76078,42.1684,NA,53401.5,124558091.20595,79.44505,NA,NA,NA,27.49446,29.72961,2871.88488,57.03668,1.69475,2.45172,23.228331666666666,19.804571666666668
Belize,5585498,42479464,284497,NA,544.9,8.6,11.92263,-14.01053,-14.080870000000001,-6.29838,-12.93315,6.3979,8.04723,NA,11.753048333333334,2.395618333333333,NA,5.07599,-1.41861,1,1,1,1,0,1,1,1,NA,-7.81772,10.45371,2,558490.47,NA,96.72759,9.05369,76.20281,4.65707,NA,50.8,65.63666,NA,14775,-6499398.53254,83.28969,NA,NA,NA,26.02714,29.90028,1108.81087,4.26451,4.31497,7.37548,69.93763,63.43355833333333
Cabo_Verde,190002,44440908,5098789,NA,125,25,3.76046,-14.78341,-58.42815,-11.31695,-22.49822,0.79973,19.71294,0.6058,6.471888,1.470478,NA,2.90405,4.06027,1,1,1,1,1,1,1,1,NA,-16.79623,13.35031,96.7957,649857.49,37.38562,124.55553,4.46755,73.14806,4.35025,NA,64.5,45.37187,1,19066,218385.08536,65.70576,66.66667,20,25.4902,20.08675,27.70523,54081.24915,60.91735,8.21427,14.42746,21.396491666666666,21.396491666666666
Comoros,75668,6174340,NA,NA,74.5,74,12.89702,-0.12884,-31.43863,0.4428,-6.30629,2.48756,16.13825,-4.29487,4.507834,1.7454020000000001,10.86993,1.30647,NA,1,NA,NA,0,0,1,1,1,NA,-1.93202,10.44317,430.7209,130641.61,83.64551,24.53635,0.06129,8.55542,0.31354,NA,8.47817,24.36457,1,587.75,45001.86919,NA,77.77778,87.87815,85.28062,NA,NA,NA,6.96095,10.17906,18.40216,12.290096666666667,11.937461666666668
Dominica,17121611,8613644,636822,NA,26.3,0,-11.76005,-16.60491,NA,NA,NA,NA,NA,-0.72712,5.5009049999999995,1.7347383333333333,4.20348,2.91252,NA,1,1,1,1,0,0,1,1,NA,-29.25767,23.54379,2.7,19549.93,NA,63.50605,22.22654,25.21022,4.35925,NA,69.61967,45.02049,NA,6951,6849141.42642,46.15716,NA,NA,NA,NA,41.95319,631.34463,4.05884,7.47944,13.47849,19.30296142857143,14.984425714285715
Dominican_Republic,242354410,1532207472,NA,7149621,5825.55,78,21.75084,-6.72024,-30.31869,-3.37465,-14.62252,4.93289,-5.63706,3.78103,8.408361666666668,1.783955,9.61034,3.10834,-1.99524,1,0,0,0,0,1,NA,1,NA,-1.95448,30.37068,56.5245,232197.618,63.66738,59.30287,4.7546375,2554.3,3.1141,NA,76.9,34.68083,NA,459462.25,-5660000000,76.11887,82.8125,49.33292,58.85673,13.30278,15.48108,706283.39859,461.40037,5.32677,10.5671,10.40086142857143,5.224404285714286
Fiji,114612920,98449040,7519010,39028,58.605,0,1.17249,-15.7118,NA,NA,NA,NA,NA,-2.59524,16.014836,6.175928,10.95989,3.82589,-3.6861,1,0,1,NA,NA,0,NA,NA,NA,-12.42408,19.78191,2.1688,465617.13,53.87205,35.67546,1.0067575,240.54721,5.27982,NA,68.9,56.46373,NA,13033,179628995.89632,59.6179,72.72727,47.22222,41.66667,22.67678,23.29226,2270.24919,25.71331,3.36611,7.83883,19.106555714285715,19.03502142857143
