geo_area_name,ilo_proportion_of_children_households_receiving_child_family_cash_benefit_by_sex_percent,ilo_proportion_of_employed_population_covered_in_the_event_of_work_injury_by_sex_percent,ilo_proportion_of_mothers_with_newborns_receiving_maternity_cash_benefit_percent,ilo_proportion_of_poor_population_receiving_social_assistance_cash_benefit_by_sex_percent,ilo_proportion_of_population_above_statutory_pensionable_age_receiving_a_pension_by_sex_percent,ilo_proportion_of_population_covered_by_at_least_one_social_protection_benefit_by_sex_percent,ilo_proportion_of_population_with_severe_disabilities_receiving_disability_cash_benefit_by_sex_percent,ilo_proportion_of_unemployed_persons_receiving_unemployment_cash_benefit_by_sex_percent,ilo_proportion_of_vulnerable_population_receiving_social_assistance_cash_benefit_by_sex_percent,world_bank_proportion_of_population_covered_by_labour_market_programs_percent,world_bank_proportion_of_population_covered_by_social_assistance_programs_percent,world_bank_proportion_of_population_covered_by_social_insurance_programs_percent,average_proportion_of_deprivations_for_people_multidimensionally_poor_percent,average_share_of_weighted_deprivations_of_total_households_intensity_percent,direct_economic_loss_attributed_to_disasters_relative_to_gdp_percent,direct_economic_loss_in_the_housing_sector_attributed_to_disasters_current_united_states_dollars,employed_population_below_international_poverty_line_by_sex_and_age_percent,number_of_local_governments_number,number_of_local_governments_that_adopt_and_implement_local_drr_strategies_in_line_with_national_strategies_number,official_development_assistance_grants_for_poverty_reduction_percentage_of_gni,official_development_assistance_grants_for_poverty_reduction_by_recipient_countries_percentage_of_gni,proportion_of_children_living_in_child_specific_multidimensional_poverty_percent,proportion_of_households_living_in_multidimensional_poverty_percent,proportion_of_local_governments_that_adopt_and_implement_local_disaster_risk_reduction_strategies_in_line_with_national_disaster_risk_reduction_strategies_percent,proportion_of_people_who_perceive_their_rights_to_land_as_secure_out_of_total_adult_population_by_sex_percent,proportion_of_people_with_legally_recognized_documentation_of_their_rights_to_land_out_of_total_adult_population_by_sex_percent,proportion_of_people_with_secure_tenure_rights_to_land_out_of_total_adult_population_by_sex_percent,proportion_of_population_below_international_poverty_line_percent,proportion_of_population_living_below_the_national_poverty_line_percent,proportion_of_population_living_in_multidimensional_poverty_percent,proportion_of_population_using_basic_drinking_water_services_by_location_percent,proportion_of_population_using_basic_sanitation_services_by_location_percent,proportion_of_total_government_spending_on_essential_services_education_percent,score_of_adoption_and_implementation_of_national_drr_strategies_in_line_with_the_sendai_framework,direct_agriculture_loss_attributed_to_disasters_current_united_states_dollars,direct_economic_loss_attributed_to_disasters_current_united_states_dollars,direct_economic_loss_resulting_from_damaged_or_destroyed_critical_infrastructure_attributed_to_disasters_current_united_states_dollars,number_of_deaths_and_missing_persons_attributed_to_disasters_number,number_of_deaths_and_missing_persons_attributed_to_disasters_per_100_000_population_number,number_of_deaths_due_to_disaster_number,number_of_directly_affected_persons_attributed_to_disasters_per_100_000_population_number,number_of_injured_or_ill_people_attributed_to_disasters_number,number_of_missing_persons_due_to_disaster_number,number_of_people_affected_by_disaster_number,number_of_people_whose_damaged_dwellings_were_attributed_to_disasters_number,number_of_people_whose_destroyed_dwellings_were_attributed_to_disasters_number,number_of_people_whose_livelihoods_were_disrupted_or_destroyed_attributed_to_disasters_number
Anguilla,2,NA,73.3,31,44.266666666666666,57.7,25.6,0,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,97,12.79311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belize,3,71.3,19.9,7.4,49.13333333333333,37.9,9.7,0,4.6,4.903885,17.38765,28.77935,NA,NA,0.00886,10921237.5,13.4,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.33333333333333,88.66666666666667,22.17475,NA,755032.46619,12201365.96619,525096,7,2.28145,7,1532.25931,5,0,4941,4616,524,0
Cabo_Verde,37.9,50.233333333333334,19.3,11.1,82.86666666666666,39.16666666666667,30.1,3.0666666666666664,19.8,5.3646650000000005,23.60795,4.62392,NA,NA,1.5e-5,25950,0.4,22,0,NA,0.59,NA,NA,0,NA,NA,NA,3.49812375,35,NA,87.33333333333333,78,15.11298,0.7,43480.36,6301414.36,115434,15,2.85856,3,180.59875,5,12,936,0,936,NA
Cook_Islands,100,NA,NA,NA,100,86.3,NA,NA,85.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99,6.06872,NA,NA,NA,NA,3,16.31144,3,24157.24228,19,0,4443,1752,2672,NA
Cuba,0.2,100,42.7,NA,2.7,48.7,NA,0,NA,NA,NA,NA,NA,NA,0,27,0.1,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.33333333333333,90,NA,NA,4292.9,11000.8,43.2,17,0.15096,17,17276.29544,NA,0,1941333,1687122,254211,NA
Dominican_Republic,62.1,45.7,17.4,100,11.3,53.6,10.4,0,41.5,NA,52.29502,4.031815,38.86666666666667,38.5,NA,NA,0.3,NA,NA,NA,0.03,NA,38.5,NA,NA,NA,NA,0.7431125000000001,21,18.7,95,84.33333333333333,18.01492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,2.6,55.7,24.5,68,92.1,58.9,20.1,0,28.2,NA,34.58398,6.7427399999999995,NA,NA,0.005618,11277864.02142,0.2,13,0,NA,0.56,NA,NA,0,NA,NA,NA,2.5553575,29.9,NA,93.66666666666667,99,14.46442,0.975,37859889.33602,374109862.5,8948205.42301,74,8.83824,74,72748.17907,1221,3,633625,42288,50779,540414
Haiti,4.1,15.7,NA,NA,0.4,5.8,NA,0,3.2,NA,20.331435,0.185485,NA,NA,NA,NA,20.3,NA,NA,NA,1.46,NA,NA,NA,NA,NA,NA,24.45086875,58.5,NA,65,36,14.64414,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jamaica,27,NA,7,58.1,40.3,30.8,31.1,0,14.3,1.95307,57.962975,4.85827,NA,NA,0.008078,85372875,1.1,14,14,NA,0.03,NA,NA,100,NA,NA,NA,1.7,19.9,NA,90.33333333333333,87,17.31399,0.075,38597933.95449,407509610.542,30402504,52,1.85991,52,4760.29982,100,0,131776,121361,10415,NA
Kiribati,1.3,32.8,NA,15.9,93.8,21,NA,0,5.1,NA,4.70585,NA,NA,NA,1.54e-4,30750,NA,23,4,NA,3.14,NA,NA,17.3913,NA,NA,NA,1.4426633333333334,21.9,NA,77,45.333333333333336,19.27184,0.925,NA,268950,NA,95,82.74757,95,2276.2766,3,0,2507,44,65,2400
