geo_area_name,agricultural_export_subsidies_millions_of_current_united_states_dollars,agriculture_orientation_index_for_government_expenditures,agriculture_share_of_government_expenditure_percent,agriculture_value_added_share_of_gdp_percent,average_income_of_large_scale_food_producers_ppp_constant_2011_international,average_income_of_small_scale_food_producers_ppp_constant_2011_international,children_moderately_or_severely_overweight_thousands,children_moderately_or_severely_stunted_thousands,children_moderately_or_severely_wasted_thousands,indicator_of_food_price_anomalies_ifpa_by_consumer_food_price_index,indicator_of_food_price_anomalies_ifpa_by_type_of_product,number_of_local_breeds_for_which_sufficient_genetic_resources_are_stored_for_reconstitution,number_of_undernourish_people_millions,plant_genetic_resources_accessions_stored_ex_situ_number,prevalence_of_moderate_or_severe_food_insecurity_in_the_adult_population_percent,prevalence_of_severe_food_insecurity_in_the_adult_population_percent,prevalence_of_undernourishment_percent,productivity_of_large_scale_food_producers_agricultural_output_per_labour_day_ppp_constant_2011_international,productivity_of_small_scale_food_producers_agricultural_output_per_labour_day_ppp_constant_2011_international,proportion_of_children_moderately_or_severely_overweight_percent,proportion_of_children_moderately_or_severely_stunted_percent,proportion_of_children_moderately_or_severely_wasted_percent,proportion_of_local_breeds_classified_as_being_at_risk_as_a_share_of_local_breeds_with_known_level_of_extinction_risk_percent,proportion_of_women_aged_15_49_years_with_anaemia_percent,proportion_of_women_aged_15_49_years_with_anaemia_non_pregnant_percent,proportion_of_women_aged_15_49_years_with_anaemia_pregnant_percent,total_official_flows_disbursements_for_agriculture_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_population_in_moderate_or_severe_food_insecurity_thousands_of_people,total_population_in_severe_food_insecurity_thousands_of_people
Barbados,0,1.41,2.17,1.60279,NA,NA,1.7,1,1.1,0.158,NA,0,NA,NA,NA,NA,4.1,NA,NA,12.2,7.7,6.8,NA,17,16.9,19.5,2.1,NA,NA
Mauritius,0.05639,0.72,2.46,3.41028,NA,NA,4.9,5.6,NA,0.764,NA,0,NA,NA,23,7.566666666666667,6.2,NA,NA,NA,NA,NA,100,23.5,23.4,27.7,6.2,180.66666666666666,60.666666666666664
Small_island_developing_States_(SIDS),0.05639,0.68,2.09322,3.07923,NA,NA,410.1,1278.3,349.6,NA,NA,NA,10.6,25782,NA,NA,15.4,NA,NA,6.6,20.6,5.6,NA,29.2,28.8,36.8,345.11181,NA,NA
Antigua_and_Barbuda,NA,0.936,2,2.13631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,17.2,17.2,19.4,2.5,NA,NA
Bahamas,NA,1.328,0.96,0.71929,NA,NA,NA,NA,NA,0.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,14.4,16.8,NA,NA,NA
Belize,NA,0.141,1.32,9.1189,NA,NA,3.2,5.3,0.7,0.487,NA,NA,NA,NA,NA,NA,5.9,NA,NA,7.3,15,1.8,NA,20.5,20.5,21.2,2.3,NA,NA
Cabo_Verde,NA,0.408,1.98,4.86412,NA,NA,NA,5,NA,0.294,0.1733333333333333,NA,NA,NA,35.1,7.6,15.4,NA,NA,NA,NA,NA,NA,24.3,23.9,33.9,2.2,138,48
Cook_Islands,NA,0.64,1.55,2.4268,NA,NA,NA,NA,NA,1.069,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,27.1,26.9,32.8,0.7,NA,NA
Cuba,NA,1.297,4.98,3.76765,NA,NA,56.9,40,12,NA,NA,NA,NA,19695,NA,NA,NA,NA,NA,10.3,7.1,2,42,19.3,19.2,22.1,15.2,NA,NA
Dominica,NA,0.128,1.67,15.34893,NA,NA,NA,NA,NA,-0.171,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,20.8,20.7,23.4,11.1,NA,NA
