geo_area_name,adolescent_birth_rate_per_1_000_women_aged_15_19_and_10_14_years,age_standardized_mortality_rate_attributed_to_ambient_air_pollution_deaths_per_100_000_population,age_standardized_mortality_rate_attributed_to_household_air_pollution_deaths_per_100_000_population,age_standardized_mortality_rate_attributed_to_household_and_ambient_air_pollution_deaths_per_100_000_population,age_standardized_prevalence_of_current_tobacco_use_among_persons_aged_15_years_and_older_by_sex_percent,alcohol_consumption_per_capita_aged_15_years_and_older_within_a_calendar_year_litres_of_pure_alcohol,alcohol_use_disorders_12_month_prevalence_percent,coverage_of_treatment_interventions_pharmacological_psychosocial_and_rehabilitation_and_aftercare_services_for_substance_use_disorders_percent,crude_death_rate_attributed_to_ambient_air_pollution_deaths_per_100_000_population,crude_death_rate_attributed_to_household_air_pollution_deaths_per_100_000_population,crude_death_rate_attributed_to_household_and_ambient_air_pollution_deaths_per_100_000_population,death_rate_due_to_road_traffic_injuries_by_sex_per_100_000_population,health_worker_density_by_type_of_occupation_per_10_000_population,health_worker_distribution_by_sex_and_type_of_occupation_percent,infant_deaths_number,infant_mortality_rate_deaths_per_1_000_live_births,international_health_regulations_ihr_capacity_by_type_of_ihr_capacity_percent,malaria_incidence_per_1_000_population_at_risk_per_1_000_population,maternal_mortality_ratio,mortality_rate_attributed_to_cardiovascular_disease_cancer_diabetes_or_chronic_respiratory_disease_probability,mortality_rate_attributed_to_unintentional_poisonings_by_sex_deaths_per_100_000_population,mortality_rate_attributed_to_unsafe_water_unsafe_sanitation_and_lack_of_hygiene_deaths_per_100_000_population,neonatal_deaths_number,neonatal_mortality_rate_deaths_per_1_000_live_births,number_of_deaths_attributed_to_non_communicable_diseases_by_type_of_disease_and_sex_number,number_of_deaths_attributed_to_suicide_by_sex_number,number_of_new_hiv_infections_per_1_000_uninfected_population_by_sex_and_age_per_1_000_uninfected_population,number_of_people_requiring_interventions_against_neglected_tropical_diseases_number,percentage_of_bloodstream_infection_due_to_escherichia_coli_resistant_to_3rd_generation_cephalosporin_e_g_esbl_e_coli_among_patients_seeking_care_and_whose_blood_sample_is_taken_and_tested_percent,percentage_of_bloodstream_infection_due_to_methicillin_resistant_staphylococcus_aureus_mrsa_among_patients_seeking_care_and_whose_blood_sample_is_taken_and_tested_percent,prevalence_of_hepatitis_b_surface_antigen_h_bs_ag_percent,proportion_of_births_attended_by_skilled_health_personnel_percent,proportion_of_health_facilities_that_have_a_core_set_of_relevant_essential_medicines_available_and_affordable_on_a_sustainable_basis_percent,proportion_of_population_with_large_household_expenditures_on_health_greater_than_10_percent_as_a_share_of_total_household_expenditure_or_income_percent,proportion_of_population_with_large_household_expenditures_on_health_greater_than_25_percent_as_a_share_of_total_household_expenditure_or_income_percent,proportion_of_the_target_population_with_access_to_3_doses_of_diphtheria_tetanus_pertussis_dtp3_percent,proportion_of_the_target_population_with_access_to_affordable_medicines_and_vaccines_on_a_sustainable_basis_human_papillomavirus_hpv_percent,proportion_of_the_target_population_with_access_to_measles_containing_vaccine_second_dose_mcv2_percent,proportion_of_the_target_population_with_access_to_pneumococcal_conjugate_3rd_dose_pcv3_percent,proportion_of_women_of_reproductive_age_aged_15_49_years_who_have_their_need_for_family_planning_satisfied_with_modern_methods_percent_of_women_aged_15_49_years,suicide_mortality_rate_by_sex_deaths_per_100_000_population,total_official_development_assistance_to_medical_research_and_basic_heath_sectors_gross_disbursement_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_official_development_assistance_to_medical_research_and_basic_heath_sectors_net_disbursement_by_recipient_countries_millions_of_constant_2019_united_states_dollars,tuberculosis_incidence_per_100_000_population,under_five_deaths_number,under_five_mortality_rate_by_sex_deaths_per_1_000_live_births,universal_health_coverage_uhc_service_coverage_index
American_Samoa,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,NA,NA
Anguilla,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00134,0,22,NA,NA,NA
Antigua_and_Barbuda,15.35,29,2,30,NA,9.577016666666667,6.666666666666667,NA,27,1,28,0,90.83,50,5.333333333333333,5.4,41.84615384615385,NA,42,17.533333333333335,0.7666666666666666,0.1,5,3.5,74.83333333333333,0,NA,1207,NA,NA,0.38,99,NA,NA,NA,96,NA,78,NA,NA,0.4,0.00294,0,2.3,6,6.4,72
Aruba,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA
Bahamas,14.65,20,NA,20,10.6,4.873483333333334,6.766666666666667,68.42105,22,NA,22,7.8,45.67,NA,38,10.5,64.61538461538461,NA,70,20.033333333333335,0.16666666666666669,0.1,36,6.6,257.9166666666667,9.333333333333334,0.23083333333333333,3,NA,NA,0.31,99,NA,NA,NA,83,4,83,83,NA,3.566666666666667,NA,NA,9.1,44,12.266666666666667,70
Barbados,25.35,30,1,31,8.466666666666667,10.554596666666667,6.833333333333333,NA,56,1,57,8.266666666666666,30.6,50,23.333333333333332,11.4,92,NA,27,16.03333333333333,0.7,0.2,25,8.1,362.08333333333337,1,NA,301,NA,NA,0.34,98.4,NA,16.37449,3.81942,85,7,78,86,69.9,0.6,0.00989,0,2.4,24.666666666666668,12.2,74
Belize,28.2,47,26,69,8.466666666666667,6.395806666666667,7.366666666666667,NA,24,13,35,22.6,1.38,50,53.333333333333336,10,48.23076923076923,0,36,16.433333333333334,0.3666666666666667,1,62,7.7,152.83333333333334,18.333333333333332,0.4925,2785,NA,NA,1.49,94.6,NA,6.2,3.1,79,11,87,NA,64.9,7.1,1.86931,2,23,62,11.633333333333333,67
British_Virgin_Islands,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA
Cabo_Verde,29.2,61,49,99,11.366666666666667,6.396976666666667,6.333333333333333,NA,41,33,69,26.766666666666666,2.18,50,84.66666666666667,12.2,52.30769230769231,0,58,17.766666666666666,0.43333333333333335,4.1,88,8.5,266.1666666666667,47.333333333333336,NA,150015,NA,NA,0.26,97.3,NA,2.047,0.02192,93,NA,86,NA,73.2,12.866666666666667,1.57887,2,39,98.66666666666667,14.166666666666666,69
Comoros,38,57,138,172,20.3,1.1471,0.7,NA,30,76,94,26.533333333333335,4.6275,NA,838,47.1,41.30769230769231,5.22772,273,20.633333333333333,2.3666666666666667,50.7,782,29,264.8333333333333,30.666666666666668,0.008333333333333333,503090,NA,NA,1.16,82.2,NA,8.81449,1.64124,87,NA,NA,NA,28.8,5.4,3.62515,4,35,1084.6666666666667,61.233333333333334,44
Cook_Islands,21.1,NA,NA,NA,24,11.08536,5.333333333333333,NA,NA,NA,NA,NA,41.715,50,1.3333333333333333,6.3,58.69230769230769,NA,NA,NA,NA,NA,1,3.9,NA,NA,NA,0,NA,NA,0.22,100,NA,NA,NA,98,73,98,NA,NA,NA,0.1894,0,13,1.3333333333333333,7.4,NA
Cuba,26.200000000000003,30,23,50,17.9,6.28804,6.6,NA,54,41,90,8.933333333333334,58.836666666666666,50,304,4.066666666666666,77.92307692307692,NA,36,16.633333333333333,0.16666666666666669,1,262,2.4,12596.833333333332,1092,0.16692307692307692,48144,NA,NA,0.12,100,NA,NA,NA,99,NA,98,NA,86.9,14.5,1.07647,0,6.3,384,5.1,80
Curaçao,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
Dominica,23.950000000000003,NA,NA,NA,NA,7.220093333333334,6.8,NA,NA,NA,NA,NA,6.074999999999999,NA,20.666666666666668,31.666666666666668,70.76923076923077,NA,NA,NA,NA,NA,29,30,NA,NA,NA,399,NA,NA,0.39,100,NA,NA,NA,97,69,90,NA,NA,NA,6.7e-4,0,47,22.666666666666668,37.13333333333333,NA
Dominican_Republic,0.8,32,13,43,10.566666666666666,6.697376666666667,6.8,NA,28,12,38,64.63333333333333,8.15,50.004999999999995,3794.6666666666665,27.833333333333332,60,0.17054,95,19.133333333333333,0.4,2.2,4791,23.4,7090.25,353.3333333333333,0.28615384615384615,2612634,NA,NA,0.34,99.2,NA,8.16748,0.9414,82,7,55,69,81.7,4.9,4.11583,3,41,4610.666666666667,33.7,66
Fiji,0.1,35,73,99,23.066666666666666,3.66608,5.366666666666667,NA,27,56,76,13.466666666666667,20.4,50,284,23,63.30769230769231,NA,34,37.63333333333333,0.26666666666666666,2.9,214,11.6,897.3333333333333,53.333333333333336,0.15666666666666668,921225,NA,NA,0.34,99.8,NA,0.78177,0.1106,99,89,94,99,NA,8.966666666666667,3.98563,4,66,340,27.366666666666667,61
French_Polynesia,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
Grenada,18.5,41,6,45,NA,8.949810000000001,6.6,NA,39,5,44,7.933333333333334,26.393333333333334,50,17.333333333333332,14.5,65.76923076923077,NA,25,23.266666666666666,0.06666666666666667,0.3,20,10.9,112.5,0.33333333333333337,NA,253,NA,NA,0.47,100,NA,NA,NA,72,32,79,NA,NA,0.6666666666666666,0.23387,0,2.8,19.333333333333332,16.333333333333332,70
Guam,17.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA
