geo_area_name,adjusted_gender_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_gender_parity_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_gender_parity_index_for_completion_rate_by_location_wealth_quintile_and_education_level,adjusted_gender_parity_index_for_participation_rate_in_formal_and_non_formal_education_and_training_ratio,adjusted_gender_parity_index_for_participation_rate_in_organized_learning_one_year_before_the_official_primary_entry_age_ratio,adjusted_gender_parity_index_for_the_proportion_of_teachers_with_the_minimum_required_qualifications_by_education_level_ratio,adjusted_immigration_status_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_immigration_status_parity_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_language_test_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_location_parity_index_for_completion_rate_by_sex_wealth_quintile_and_education_level,adjusted_low_to_high_socio_economic_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_low_to_high_socio_economic_parity_status_index_for_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_numeracy_literacy_skills_ratio,adjusted_rural_to_urban_parity_index_for_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_ratio,adjusted_wealth_parity_index_for_completion_rate_by_sex_location_and_education_level,completion_rate_by_sex_location_wealth_quintile_and_education_level_percent,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_curricula,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_national_education_policies,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_student_assessment,extent_to_which_global_citizenship_education_and_education_for_sustainable_development_are_mainstreamed_in_teacher_education,gender_parity_index_for_youth_adults_with_information_and_communications_technology_ict_skills_by_type_of_skill_ratio,participation_rate_in_formal_and_non_formal_education_and_training_by_sex_percent,participation_rate_in_organized_learning_one_year_before_the_official_primary_entry_age_by_sex_percent,proportion_of_children_aged_36_59_months_who_are_developmentally_on_track_in_at_least_three_of_the_following_domains_literacy_numeracy_physical_development_social_emotional_development_and_learning_percent_of_children_aged_36_59_months,proportion_of_children_and_young_people_achieving_a_minimum_proficiency_level_in_reading_and_mathematics_percent,proportion_of_population_achieving_at_least_a_fixed_level_of_proficiency_in_functional_skills_by_sex_age_and_type_of_skill_percent,proportion_of_schools_with_access_to_access_to_single_sex_basic_sanitation_by_education_level_percent,proportion_of_schools_with_access_to_computers_for_pedagogical_purposes_by_education_level_percent,proportion_of_schools_with_access_to_electricity_by_education_level_percent,proportion_of_schools_with_access_to_adapted_infrastructure_and_materials_for_students_with_disabilities_by_education_level_percent,proportion_of_schools_with_access_to_basic_drinking_water_by_education_level_percent,proportion_of_schools_with_access_to_the_internet_for_pedagogical_purposes_by_education_level_percent,proportion_of_schools_with_basic_handwashing_facilities_by_education_level_percent,proportion_of_teachers_with_the_minimum_required_qualifications_by_education_level_and_sex_percent,proportion_of_youth_and_adults_with_information_and_communications_technology_ict_skills_by_sex_and_type_of_skill_percent,total_official_flows_for_scholarships_by_recipient_countries_millions_of_constant_2019_united_states_dollars
Belize,1.27404,NA,1.0146827777777778,NA,0.98653,1.162576,1.34206,NA,0.61261,0.7801407407407407,0.3258,NA,NA,0.4021811111111111,67.47234790123457,NA,NA,NA,NA,NA,2.3532100000000002,84.43789333333334,82.56666666666666,25.493333333333332,NA,NA,NA,94.72502666666666,NA,NA,NA,NA,68.485486,NA,0.4
Dominican_Republic,1.155565,NA,1.1567859259259259,1.45005,1.00394,1.0039150000000001,0.9772350000000001,NA,0.9577,1.0083701851851852,0.17334,NA,0.21001,0.5769277777777778,77.92222222222222,0.872,0.969,1,0.825,NA,6.2368966666666665,98.57847,87.05101,16.503333333333334,NA,89.54802,NA,92.25248,NA,84.13965,23.16263,NA,92.35544,17.32177,1.2
Guinea-Bissau,0.59415,NA,0.5696057407407408,NA,0.98103,1.17296,NA,NA,NA,0.33394981481481484,NA,NA,NA,0.08935407407407407,15.577777777777778,NA,NA,NA,NA,NA,NA,28.721693333333334,73.23333333333333,5.233333333333333,NA,NA,NA,NA,NA,NA,NA,NA,35.098366666666664,NA,2.2
Jamaica,1.1467649999999998,NA,0.9479537037037037,NA,1.0565,0.9576533333333334,NA,NA,NA,0.8659225925925926,NA,NA,NA,0.5900085185185185,96.62222222222222,NA,NA,NA,NA,1.25016375,NA,97.15343333333333,89.33333333333333,75.98333333333333,NA,97.54004499999999,92.620135,100,10.559776666666666,95.13730000000001,84.992885,100,97.31579555555555,8.37994,1
Kiribati,1.174965,NA,0.7213895918367347,NA,1.04434,0.9641333333333333,NA,NA,NA,0.2847633333333333,NA,NA,NA,0.2712933333333333,51.60740551020408,NA,NA,NA,NA,NA,NA,97.74526333333333,79.9,20.65,NA,63.81688666666667,57.6891175,80.75601333333333,NA,79.71772333333334,44.647040000000004,NA,90.90952888888889,NA,2.8
Mauritius,1.11864,NA,NA,0.77102,0.9453,0.9471466666666667,1.071625,NA,0.916745,NA,0.4467,NA,0.80205,NA,82.92222111111111,0.802,NA,0.833,0.9,NA,1.700985,90.74965666666667,NA,67.18333333333334,NA,100,99.13522,100,41.18501666666667,100,91.6666675,92.45517333333333,84.2705511111111,23.222615,2.3
Sao_Tome_and_Principe,0.7690250000000001,NA,0.9724691666666667,NA,1.04918,1.30347,NA,NA,NA,0.9458322222222222,NA,NA,NA,0.49047444444444444,45.32222111111111,NA,NA,NA,NA,NA,NA,52.39051666666666,62.833333333333336,11.65,NA,90.57971,85.1646275,95.65217333333334,NA,96.01449333333333,NA,96.01449333333333,27.09486,NA,0.8
Seychelles,1.3129849999999998,NA,NA,NA,1.01219,0.9120233333333333,NA,NA,NA,NA,0.42692,NA,0.97655,NA,NA,NA,NA,NA,NA,NA,NA,96.96997333333333,NA,66.26666666666667,NA,100,100,100,6.604406666666667,100,100,100,86.92395222222223,NA,1.6
Singapore,1.0100799999999999,0.941435,NA,0.87652,NA,0.988035,1.04247,0.9997400000000001,0.89799,NA,0.82757,0.643195,NA,NA,NA,NA,NA,NA,NA,0.8438422222222222,56.640283333333336,97.05954,NA,93.68,72.78645833333333,100,100,100,93.57351,100,100,100,98.28608857142858,41.03465875,NA
Suriname,0.962235,NA,0.7643737735849057,NA,1.04258,1.0796466666666666,NA,NA,NA,0.4802590566037736,NA,NA,NA,0.2575359259259259,57.39999888888889,NA,NA,NA,NA,NA,NA,92.14718333333333,77.43333333333334,21,NA,NA,NA,96.28514,NA,NA,NA,NA,93.36480666666667,NA,0.8
