geo_area_name,countries_with_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_rural_drinking_water_supply_by_level_of_definition_in_procedures_10_clearly_defined_5_not_clearly_defined_0_na,countries_with_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_water_resources_planning_and_management_by_level_of_definition_in_procedures_10_clearly_defined_5_not_clearly_defined_0_na,countries_with_users_communities_participating_in_planning_programs_in_rural_drinking_water_supply_by_level_of_participation_3_high_2_moderate_1_low_0_na,countries_with_users_communities_participating_in_planning_programs_in_water_resources_planning_and_management_by_level_of_participation_3_high_2_moderate_1_low_0_na,degree_of_integrated_water_resources_management_implementation_percent,degree_of_integrated_water_resources_management_implementation_enabling_environment_percent,degree_of_integrated_water_resources_management_implementation_financing_percent,degree_of_integrated_water_resources_management_implementation_institutions_and_participation_percent,degree_of_integrated_water_resources_management_implementation_management_instruments_percent,extent_of_human_made_wetlands_square_kilometres,extent_of_inland_wetlands_square_kilometres,lake_water_quality_trophic_state_percent,lake_water_quality_turbidity_percent,lakes_and_rivers_permanent_water_area_percent_of_total_land_area,lakes_and_rivers_permanent_water_area_square_kilometres,lakes_and_rivers_permanent_water_area_change_percent,lakes_and_rivers_seasonal_water_area_percent_of_total_land_area,lakes_and_rivers_seasonal_water_area_square_kilometres,lakes_and_rivers_seasonal_water_area_change_percent,level_of_water_stress_freshwater_withdrawal_as_a_proportion_of_available_freshwater_resources_percent,mangrove_area_square_kilometres,mangrove_area_baseline_square_kilometres,mangrove_area_gain_percent,mangrove_area_gain_square_kilometres,mangrove_area_loss_percent,mangrove_area_loss_square_kilometres,mangrove_total_area_change_percent,nationally_derived_quantity_of_groundwater_millions_of_cubic_metres_per_annum,nationally_derived_quantity_of_rivers_million_of_cubic_metres_per_annum,proportion_of_bodies_of_water_with_good_ambient_water_quality_percent,proportion_of_countries_by_iwrm_implementation_category_percent,proportion_of_countries_with_clearly_defined_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_rural_drinking_water_supply_percent,proportion_of_countries_with_clearly_defined_procedures_in_law_or_policy_for_participation_by_service_users_communities_in_planning_program_in_water_resources_planning_and_management_percent,proportion_of_countries_with_high_level_of_users_communities_participating_in_planning_programs_in_rural_drinking_water_supply_percent,proportion_of_countries_with_high_level_of_users_communities_participating_in_planning_programs_in_water_resources_planning_and_management_percent,proportion_of_groundwater_bodies_with_good_ambient_water_quality_percent,proportion_of_open_water_bodies_with_good_ambient_water_quality_percent,proportion_of_population_practicing_open_defecation_by_urban_rural_percent,proportion_of_population_using_safely_managed_drinking_water_services_by_urban_rural_percent,proportion_of_population_using_safely_managed_sanitation_services_by_urban_rural_percent,proportion_of_population_with_basic_handwashing_facilities_on_premises_by_urban_rural_percent,proportion_of_river_water_bodies_with_good_ambient_water_quality_percent,proportion_of_safely_treated_domestic_wastewater_flows_percent,proportion_of_transboundary_aquifers_with_an_operational_arrangement_for_water_cooperation_percent,proportion_of_transboundary_basins_river_and_lake_basins_and_aquifers_with_an_operational_arrangement_for_water_cooperation_percent,proportion_of_transboundary_river_and_lake_basins_with_an_operational_arrangement_for_water_cooperation_percent,reservoir_maximum_water_area_percent_of_total_land_area,reservoir_maximum_water_area_square_kilometres,reservoir_minimum_water_area_percent_of_total_land_area,reservoir_minimum_water_area_square_kilometres,total_official_development_assistance_gross_disbursement_for_water_supply_and_sanitation_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_wastewater_treated_million_m3_year,water_use_efficiency_united_states_dollars_per_cubic_meter,wetlands_area_percent_of_total_land_area,wetlands_area_square_kilometres
Anguilla,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01641,1.47701,16.40527,0.01397,1.25718,34.09048,NA,0.01,0.02,0,0,68.42,0.01,-68.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00778,NA,NA,1.07,0.84
Antigua_and_Barbuda,0,0,0,0,35,28,20,47,45,NA,4.55,NA,NA,0.00788,3.46762,0.49028,0.0109,4.79395,47.36943,4.230385,8.9,9.09,0.19,0.02,2.34,0.21,-2.15,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.14355,NA,99.22224,0.92,4.17
Barbados,5,10,2,2,46,38,23,60,63,NA,NA,NA,NA,3e-5,0.01497,-22.50285,0.0015,0.64402,68.5625,43.75,0.13,0.13,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,88,NA,NA,NA,NA,NA,0,0,0,0,0.33778,NA,79.6712,63.05,273.01
Belize,10,10,2,2,21,20,7,25,33,NA,NA,22.916667500000003,22.916665000000002,0.01103,251.62044,-1.12963,0.01127,257.16323,13.22767,0.6275725,478.36,533.51,2.45,13.08,12.79,68.23,-10.34,NA,NA,78.95,NA,NA,NA,NA,NA,100,NA,0.6666666666666666,NA,NA,90.33333333333333,60,NA,NA,NA,NA,3.3e-4,7.52111,1.8e-4,4.10271,1.27237,NA,32.422627500000004,7.69,1673.94
British_Virgin_Islands,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03091,4.63582,5.36942,0.02703,4.05409,87.97611,NA,0.87,1706.7,0,0,0,0.01,-99.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,29.28,45.15
Comoros,5,5,1,1,20,37,7,26,10,NA,NA,NA,NA,0.00176,3.275,119.26127,0.00307,5.71001,195.73265,0.4158325,1.06,1.05,0.66,0.01,0.08,0,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16.333333333333332,NA,NA,NA,NA,NA,0,0,0,0,9.41799,NA,96.605605,0.1,1.66
Cook_Islands,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00143,0.34429,3048.22604,0.0014,0.33509,77.39954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1.77164,NA,NA,0,0
Cuba,10,10,2,2,82,80,76,87,84,NA,48468.29,22.916665,22.9166675,0.01196,1241.95044,21.55274,0.01248,1295.6331,16.26116,11.972362500000001,3343.07,3517.17,0.5,17.59,5.45,191.69,-4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33333333333333337,NA,40,90.66666666666667,NA,24.18225,NA,NA,NA,8.4e-4,86.97358,4.6e-4,47.48815,16.70369,NA,20.2756625,2.9,3217.83
Dominican_Republic,10,10,3,3,36,32,16,50,44,1816,7252.5,25,25,0.00811,391.85805,50.72725,0.00262,126.7699,83.67799,19.778327500000003,187.57,197.1,0.23,0.45,5.06,9.98,-4.83,NA,NA,70.59,NA,NA,NA,NA,NA,NA,88.89,3,NA,NA,43.333333333333336,50,NA,0,0,0,0.00161,77.55864,0.00106,51.21872,2.34127,NA,27.1746725,0.9,431.08
Fiji,10,5,3,0,56,28,63,61,70,NA,NA,NA,NA,0.00204,37.26625,47.74941,0.00221,40.28651,291.09917,0.1493425,508.73,513.71,0.27,1.39,1.24,6.37,-0.97,0.02,83468314.8144,100,NA,NA,NA,NA,NA,100,100,0,NA,NA,NA,100,NA,NA,NA,NA,2.9e-4,5.30121,1.9e-4,3.47604,18.30624,NA,59.29879,1.48,270.42
