geo_area_name,energy_intensity_level_of_primary_energy_megajoules_per_constant_2017_purchasing_power_parity_gdp,installed_renewable_electricity_generating_capacity_watts_per_capita,international_financial_flows_to_developing_countries_in_support_of_clean_energy_research_and_development_and_renewable_energy_production_including_in_hybrid_systems_millions_of_constant_united_states_dollars,proportion_of_population_with_access_to_electricity_by_urban_rural_percent,proportion_of_population_with_primary_reliance_on_clean_fuels_and_technology_percent,renewable_energy_share_in_the_total_final_energy_consumption_percent
Antigua_and_Barbuda,3.45,111.987,9.775,100,NA,0.91
Aruba,3.2,178.4275,NA,100,NA,7.48
Bahamas,2.53,5.678,0.56,100,NA,1.14
Barbados,3.54,116.04066666666667,34.1,100,NA,4.31
Belize,6.12,103.4856,0.26,97.17315,82,29.09
Cabo_Verde,2.6,42.424,1.18,94.05380666666666,81,22.19
Comoros,3.19,1.665,8.34,89.26409666666666,8,53.43
Cuba,1.27,42.315599999999996,1.8900000000000001,100,94,21.54
Curaçao,8.34,231.16,NA,100,NA,2.68
Dominica,2.97,49.416250000000005,5.96,100,89,8.05
Dominican_Republic,2.08,48.2864,17.068,100,92,13.98
Fiji,2.15,94.5504,0.03833333333333334,100,51,26.48
Grenada,2.68,19.872,0.2,93.58645,89,10.37
Guinea-Bissau,8.59,0.594,0.23,34.92601666666667,NA,86.24
Guyana,3.98,27.039199999999997,14.63,93.46182999999999,81,11.35
Haiti,5.8,3.5315,26.34,43.22349333333333,NA,76.4
Jamaica,4.45,34.2608,0.058333333333333334,100,83,9.09
Kiribati,5.93,23.961,0.86,92.26315,10,41.03
Maldives,2.69,15.54825,4.02,100,95,1.11
Marshall_Islands,9.74,18.31266666666667,27.77,98.37033333333333,64,11.7
Mauritius,2.13,79.2628,7.25,99.63534,95,8.94
Micronesia_(Federated_States_of),5.52,2.5915,18.18,86.15246,13,1.78
Nauru,5.06,179.712,22,100,NA,0.61
Palau,9.64,96.451,1.15,100,NA,0.29
Papua_New_Guinea,5.28,14.905199999999999,0.06,66.94238666666666,9,53.09
Puerto_Rico,0.63,50.685199999999995,NA,100,NA,2.42
Saint_Kitts_and_Nevis,2.58,51.88766666666667,18.41,100,NA,1.58
Saint_Lucia,2.84,20.885,6.513333333333333,100,94,9.75
Saint_Vincent_and_the_Grenadines,2.48,45.126666666666665,2.0666666666666664,100,94,5.68
Samoa,4.44,56.7188,2.05,99.99564,36,34.21
Sao_Tome_and_Principe,3.47,8.073333333333334,0.01,75.36212333333333,NA,37.09
Seychelles,3.08,66.35466666666666,0.95,100,NA,1.47
Singapore,2.57,37.4556,NA,100,NA,0.84
Sint_Maarten_(Dutch_part),8.62,NA,NA,100,NA,0.05
Small_island_developing_States_(SIDS),2.76,22.839142857142857,89.07714285714286,80.91280666666667,58,18.15
Solomon_Islands,4.27,2.64275,30.933333333333334,74.23644666666667,9,48.39
Suriname,3.97,162.8885,22.5,97.95795666666666,94,14.4
Timor-Leste,2.13,0.5386666666666667,0.02,96.82625,14,11.67
Tonga,3.42,48.88833333333333,2.45,100,84,1.77
Trinidad_and_Tobago,19.9,1.0755,NA,100,NA,0.43
Tuvalu,2.61,196.065,6.16,99.60851666666666,71,8.2
Vanuatu,3.53,15.1366,0.075,73.523,8,31.86
American_Samoa,NA,91.78,NA,NA,NA,0.5
Anguilla,NA,100.72,0.05,100,NA,0.49
"Bonaire,_Sint_Eustatius_and_Saba",NA,449.76666666666665,NA,NA,NA,12.41
British_Virgin_Islands,NA,15.323333333333334,NA,100,NA,1.23
Cook_Islands,NA,275.9433333333333,4.44,100,76,3.69
French_Polynesia,NA,158.2,0.24,100,NA,7.67
Guam,NA,138.46166666666667,NA,100,NA,3.02
Montserrat,NA,50.01,0.14,NA,NA,0.42
New_Caledonia,NA,278.9426,2.85,100,NA,5.4
Niue,NA,581.582,0.1,99.826865,94,22.38
United_States_Virgin_Islands,NA,32.51533333333333,NA,100,NA,3.66
Northern_Mariana_Islands,NA,NA,NA,100,NA,0
