geo_area_name,annual_growth_rate_of_real_gdp_per_capita_percent,annual_growth_rate_of_real_gdp_per_employed_person_percent,average_hourly_earnings_of_employees_by_sex_and_occupation_local_currency,domestic_material_consumption_per_capita_by_type_of_raw_material_tonnes,domestic_material_consumption_per_unit_of_gdp_by_type_of_raw_material_kilograms_per_constant_2015_united_states_dollars,domestic_material_consumption_by_type_of_raw_material_tonnes,existence_of_a_developed_and_operationalized_national_strategy_for_youth_employment_as_a_distinct_strategy_or_as_part_of_a_national_employment_strategy,fatal_occupational_injuries_among_employees_by_sex_and_migrant_status_per_100_000_employees,level_of_national_compliance_with_labour_rights_freedom_of_association_and_collective_bargaining_based_on_international_labour_organization_ilo_textual_sources_and_national_legislation,non_fatal_occupational_injuries_among_employees_by_sex_and_migrant_status_per_100_000_employees,number_of_automated_teller_machines_at_ms_per_100_000_adults,number_of_commercial_bank_branches_per_100_000_adults,proportion_of_adults_15_years_and_older_with_an_account_at_a_financial_institution_or_mobile_money_service_provider_by_sex_percent_of_adults_aged_15_years_and_older,proportion_of_children_engaged_in_economic_activity_and_household_chores_by_sex_and_age_percent,proportion_of_children_engaged_in_economic_activity_by_sex_and_age_percent,proportion_of_informal_employment_by_sector_and_sex_ilo_harmonized_estimates_percent,proportion_of_youth_not_in_education_employment_or_training_by_sex_and_age_percent,total_official_flows_commitments_for_aid_for_trade_by_recipient_countries_millions_of_constant_2019_united_states_dollars,total_official_flows_disbursement_for_aid_for_trade_by_recipient_countries_millions_of_constant_2019_united_states_dollars,tourism_direct_gdp_as_a_proportion_of_total_gdp_percent,unemployment_rate_by_sex_and_age_percent,unemployment_rate_by_sex_and_disability_percent
Anguilla,-30.49832,NA,NA,0.11843,0.0051088888888888885,6629.385555555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,NA,7.9,NA
Antigua_and_Barbuda,-20.849240000000002,NA,NA,0.933376111111111,0.05612166666666667,136228.35276222223,NA,NA,0.72,NA,61.41382,20.90683,NA,NA,NA,NA,NA,5.70049,8.1,NA,11.522222222222222,NA
Aruba,-22.6493,NA,NA,2.1612122222222223,0.0754738888888889,212638.2550872222,NA,NA,NA,NA,125.83893,11.33684,NA,NA,NA,NA,16.53333333333333,NA,NA,21.2,8.433333333333334,NA
Bahamas,-15.33225,-2.4,NA,1.2501805555555554,0.03837888888888889,632848.3102327778,2,NA,2.51,NA,123.58053,24.65123,NA,NA,NA,NA,NA,NA,NA,15.2,13.55,NA
Barbados,-17.70036,2.3,NA,0.3252805555555556,0.019439444444444443,128966.71295333332,1,0.8,0.54,388.3,28.00921,14.63168,NA,1.3666666666666667,1.2333333333333334,65.16666666666667,NA,0.5,9.8,NA,13.511111111111111,11.8875
Belize,-18.27142,4,8.133030303030303,2.410060555555556,0.5191027777777778,1042246.2408394445,0,5.8,0.53,1557.511111111111,45.823,18.11607,48.193333333333335,3.2666666666666666,2.2,NA,24.8,17.72913,7.5,NA,11.933333333333334,NA
British_Virgin_Islands,1.05246,NA,NA,0.17826333333333333,0.003958333333333333,10208.745095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabo_Verde,-15.711,-0.1,NA,0.9255933333333334,0.265895,607838.01239,2,NA,0.32,NA,49.76767,31.01101,NA,NA,NA,72.57777777777778,28.03,74.98686,61.9,NA,23.044444444444444,NA
Comoros,1.63084,-1.2,515.0835483870968,0.48657833333333333,0.36793611111111113,456614.8109111111,2,NA,1.35,NA,6.22313,3.58301,21.76,28.5,20.366666666666667,95.03333333333333,27.353333333333335,63.32033,35.1,NA,11.677777777777777,NA
Cook_Islands,-25.43556,NA,9.969333333333333,0.22905000000000003,0.010456666666666666,9144.550476111111,2,NA,NA,NA,NA,NA,NA,NA,NA,37.0875,12.686666666666667,0.87899,5.3,NA,1.788888888888889,1.2666666666666666
Cuba,-10.89435,1,NA,1.5213555555555556,0.18659666666666666,17561543.943628334,3,25,10,1017,NA,NA,NA,NA,NA,NA,NA,84.65669,39.8,NA,1.7,NA
Curaçao,-18.77064,NA,72.57363636363637,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.45,NA,NA,NA,26.222222222222225,NA
Dominica,-16.2647,NA,NA,0.5859227777777778,0.07596888888888889,52194.809466666666,NA,NA,0.17,NA,34.2771,15.42469,NA,NA,NA,NA,NA,28.6861,16.2,NA,14.766666666666667,NA
Dominican_Republic,-7.6571,7.5,137.49151515151516,1.3253811111111111,0.15942944444444443,14828596.017447779,3,17.433333333333334,1.45,336.3666666666667,40.39988,11.71342,56.24666666666667,3.8,3.0666666666666664,62.62222222222222,37.653333333333336,196.00148,74.6,NA,8.966666666666667,NA
Fiji,-16.33491,-4,NA,0.7728955555555556,0.13106166666666666,807267.87356,2,NA,5.73,NA,52.95628,10.68554,NA,16.7,NA,52.21111111111111,20.17,40.80453,21.6,12.6,7.777777777777778,3.7444444444444445
French_Polynesia,-8.13308,-1.9,NA,0.5280916666666666,0.024936111111111114,189876.4002661111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.944444444444443,NA
Grenada,-14.15427,NA,NA,0.25671333333333335,0.025149444444444443,42225.26015277778,1,NA,0.71,NA,41.97468,22.1533,NA,NA,NA,NA,NA,10.03801,5.3,NA,22.9,NA
Guinea-Bissau,-3.75873,0.1,NA,0.4964299999999999,0.7488972222222222,974421.4391188888,2,NA,NA,NA,6.12493,4.11245,NA,17.2,14.9,94.93333333333334,24.150000000000002,24.03492,28.6,NA,3.388888888888889,2.922222222222222
Guyana,42.78934,18.2,493.7463888888889,4.888021111111111,0.7545255555555557,3916727.6991511113,0,NA,0.53,NA,20.7589,8.09245,NA,6.433333333333334,4.866666666666666,62.022222222222226,35.553333333333335,23.88352,28.9,NA,17.03333333333333,NA
Haiti,-4.52544,-2.6,13,0.3277133333333333,0.3679072222222223,3844416.8771183332,NA,NA,NA,NA,3.80842,2.62348,32.67333333333333,35.233333333333334,21.4,92.91111111111111,18.18,133.0919,156.1,NA,14.3,NA
Jamaica,-10.59087,1.2,247.4213043478261,1.2396994444444445,0.24458888888888888,4011826.016032222,1,NA,1.23,NA,39.70058,6.34504,78.47333333333333,2.8666666666666667,2.666666666666667,68.97777777777777,29.586666666666666,7.34575,42.6,9.8,12.38888888888889,NA
Kiribati,-2.08147,NA,NA,0.8640244444444444,0.5520905555555556,105722.41442388888,NA,NA,1.23,NA,14.34761,5.73905,NA,16.5,7.066666666666666,56.4,49.75666666666667,6.52127,23.2,NA,12.38888888888889,8.971428571428572
Maldives,-34.67983,17.2,62.732424242424244,1.368068888888889,0.1340722222222222,884953.002725,NA,NA,3.85,NA,37.96621,13.80589,NA,NA,NA,59.77777777777778,27.613333333333333,56.18488,47.2,NA,7.944444444444445,5.466666666666667
Marshall_Islands,-2.86683,NA,4.591333333333333,0.17368833333333333,0.043925000000000006,15632.164784444445,0,NA,NA,NA,5.74141,13.39662,NA,NA,NA,28.5625,41.166666666666664,39.66224,12.3,NA,11.466666666666667,6.033333333333333
Mauritius,-15.03522,4.1,143.34166666666667,1.5695233333333334,0.14740777777777778,2382539.1230711113,1,0,2.13,202,42.05873,15.47533,89.88666666666667,NA,NA,60.077777777777776,41.836666666666666,16.53325,34.8,9.1,13.4,8.566666666666666
Micronesia_(Federated_States_of),-2.84943,NA,NA,0.4544661111111111,0.15553555555555557,60815.75845611111,NA,NA,NA,NA,12.63536,12.63536,NA,NA,NA,NA,23.706666666666667,75.66002,30,NA,11.833333333333332,NA
Montserrat,-5.35566,NA,NA,4.432499444444444,0.3299961111111111,24401.034541666664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96697,13.9,NA,12.1,NA
Nauru,0.36548,NA,NA,1.1512850000000001,0.11316444444444446,15323.730708333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.58333333333333,29.16508,39.6,NA,17.177777777777777,NA
New_Caledonia,-0.78426,-1.8,NA,7.823967222222222,0.2410438888888889,2356629.811821667,NA,7,NA,5.6,NA,NA,NA,NA,NA,NA,11.846666666666668,NA,NA,NA,21.288888888888888,NA
Palau,-10.14584,NA,NA,0.52009,0.032885000000000005,20461.782247222225,1,NA,NA,NA,45.84527,NA,NA,NA,NA,NA,12.813333333333334,37.20986,9.7,NA,1.8571428571428572,NA
Papua_New_Guinea,-5.74023,-0.9,NA,1.3305238888888888,0.4642177777777778,12181008.770577222,NA,NA,1.1,NA,8.15165,1.58552,NA,NA,NA,NA,27.7,129.67965,219,NA,2.566666666666667,1.6777777777777778
Puerto_Rico,-1.46617,-5.9,NA,0.39746611111111113,0.012158333333333333,1165927.5970388888,NA,8.2,NA,NA,NA,NA,69.84333333333333,NA,NA,NA,NA,NA,NA,3.4,7.9,NA
Saint_Kitts_and_Nevis,-11.37424,NA,NA,0.7458366666666667,0.0402,55567.277940555556,1,NA,0.68,NA,104.34057,37.09887,NA,NA,NA,NA,NA,0.3,0.4,NA,6.544444444444444,NA
Saint_Lucia,-20.73666,2.4,NA,0.49627333333333334,0.04510055555555556,116710.36503944444,NA,NA,0.39,NA,43.14264,15.26586,NA,3.2666666666666666,1.9,44.144444444444446,29.78,15.29462,5.9,30,21.422222222222224,NA
Saint_Vincent_and_the_Grenadines,-3.03588,-6.4,NA,0.8085144444444444,0.1121388888888889,109742.16677722221,NA,2.533333333333333,1.03,530.3666666666667,34.62324,16.15751,NA,NA,NA,NA,NA,10.08287,17.5,NA,18.8,NA
Samoa,-9.77901,-7.3,8.769,1.128145,0.26619611111111113,251901.66164666667,NA,NA,1.52,NA,59.38814,24.07627,NA,13.766666666666667,12.9,49.955555555555556,38.016666666666666,114.72561,66.9,NA,19.855555555555554,12.944444444444445
Sao_Tome_and_Principe,1.15972,-1,NA,0.3648283333333333,0.21787555555555554,92058.27541,3,NA,1.34,NA,26.38066,20.60989,NA,10.5,6.733333333333333,NA,NA,25.05695,15.3,NA,15.333333333333334,NA
Seychelles,-11.32255,NA,NA,1.5201627777777778,0.09252833333333332,216060.78360388888,2,4.8,1.07,165.2,89.26073,46.62874,NA,NA,NA,24.025,25.596666666666668,7.02737,10.1,NA,7.7444444444444445,4.333333333333333
Singapore,-6.13499,5.7,NA,2.9401605555555554,0.049215,19066494.917425554,3,0.9,NA,343,54.00705,7.01911,97.97333333333334,NA,NA,NA,4.483333333333333,NA,NA,2.6,7.433333333333334,NA
Sint_Maarten_(Dutch_part),-24.86501,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Small_island_developing_States_(SIDS),-7.41987,2.7,NA,1.385606111111111,0.1241811111111111,98972239.70146278,NA,NA,3.55,NA,29.42163,7.61303,60.36666666666667,NA,NA,65.76666666666667,25.203333333333333,1694.3,1376,NA,7.766666666666667,NA
Solomon_Islands,-6.69623,-1.5,NA,1.5547083333333334,0.7790349999999999,1264696.0765933334,1,NA,2.73,NA,15.05147,3.88425,NA,17.866666666666667,13.8,NA,7.026666666666666,178.53511,93.8,NA,0.8444444444444444,NA
Suriname,-16.66006,-1.5,NA,8.42042388888889,1.0002772222222223,5001900.256823889,NA,NA,0.17,NA,45.79212,11.38992,NA,4.233333333333333,3.4,60.6,14.726666666666667,27.20145,7.9,NA,13.88888888888889,7.488888888888889
Timor-Leste,9.12818,-0.3,NA,0.7002833333333334,0.4843105555555556,974709.5695711111,2,NA,0.34,NA,13.44806,5.64338,NA,9.2,7.233333333333333,74.88888888888889,20.956666666666667,96.4036,76.3,NA,6.9,6.125
