geo_area_name,carbon_dioxide_emissions_from_fuel_combustion_millions_of_tonnes,carbon_dioxide_emissions_per_unit_of_gdp_ppp_kilogrammes_of_co2_per_constant_2017_united_states_dollars,carbon_dioxide_emissions_per_unit_of_manufacturing_value_added_kilogrammes_of_co2_per_constant_2015_united_states_dollars,container_port_traffic_maritime_transport_twenty_foot_equivalent_units_te_us,freight_loaded_and_unloaded_maritime_transport_metric_tons,freight_volume_by_mode_of_transport_tonne_kilometres,manufacturing_employment_as_a_proportion_of_total_employment_percent,manufacturing_value_added_constant_2015_united_states_dollars_as_a_proportion_of_gdp_percent,manufacturing_value_added_current_united_states_dollars_as_a_proportion_of_gdp_percent,manufacturing_value_added_per_capita_constant_2015_united_states_dollars,passenger_volume_passenger_kilometres_by_mode_of_transport,proportion_of_medium_and_high_tech_manufacturing_value_added_in_total_value_added_percent,proportion_of_population_covered_by_at_least_a_2g_mobile_network_percent,proportion_of_population_covered_by_at_least_a_3g_mobile_network_percent,proportion_of_population_covered_by_at_least_a_4g_mobile_network_percent,proportion_of_small_scale_industries_in_total_industry_value_added_percent,proportion_of_small_scale_industries_with_a_loan_or_line_of_credit_percent,research_and_development_expenditure_as_a_proportion_of_gdp_percent,researchers_in_full_time_equivalent_per_million_inhabitants_per_1_000_000_population,total_official_flows_for_infrastructure_by_recipient_countries_millions_of_constant_2019_united_states_dollars
Cuba,15.393,0.08,0.495,333914,NA,5941473918,9.3,13.66,12.93,983.95,20821555357,16.22,85.61,70.52,39.71,NA,NA,0.53706,NA,21.79787
Curaçao,1.285,0.563,1.851,76877,NA,267000000,6.7,4.59,4.15,684.4,1207500000,NA,100,100,90,NA,NA,NA,NA,NA
Dominican_Republic,14.456,0.127,0.308,1979465,NA,6539000000,10.5,13.76,14.45,1174.52,25997680954,NA,99.53,99.5,96.64,NA,49.72,NA,NA,519.02079
Guyana,1.3860000000000001,0.262,0.347,58377,NA,66054275,10.5,2.73,4.24,301.57,1146487842.3333335,NA,97.3,93.2,50,NA,43.21,NA,NA,28.39171
Haiti,1.9340000000000002,0.099,0.248,177043,NA,119000000,1.4,16.86,17.64,206.81,22308279863.333336,5.26,70,60,35,NA,NA,NA,NA,86.35611
Jamaica,4.1835,0.28,0.255,1611637,NA,587000000,6.1,8.2,7.95,386.13,16178500000,18.77,100,99,97,NA,33,0.06096,NA,59.98853
Mauritius,2.2504999999999997,0.144,0.211,438078,NA,109531500,12.7,11.07,10.71,1035.61,5924573666.666666,4.65,99,99,99,NA,35.89,0.34691,473.85267,119.53526
Singapore,30.652500000000003,0.084,0.207,36870900,NA,4543975361,9.6,22.04,20.54,13276.03,40397852216.666664,85.06,100,100,100,2.43,NA,1.92465,6802.53716,NA
Small_island_developing_States_(SIDS),92.2155,0.126,0.296,NA,669987849,17095212787.75,6.7,20.33,20.04,2305.89,164825395330.3333,73.63,90.82327,80.74083,66.57452,NA,NA,0.9802,844.05997,1954.78681
Suriname,1.3485,0.238,0.078,109600,NA,380375057.5,6.5,17.35,22.05,1249.66,1690657921,11.62,100,100,85,NA,21.09,NA,NA,19.16165
Trinidad_and_Tobago,9.311,0.461,0.546,441264,NA,565725610,7.7,15.7,16.5,2335.43,7748281156.666666,39.6,100,100,75,NA,53.9,0.08399,566.97051,0.64771
American_Samoa,NA,NA,NA,49484,NA,0,16.6,NA,NA,NA,123000000,NA,NA,92.67,0,NA,NA,0.39313,100.73537,NA
Anguilla,NA,NA,NA,5992,NA,0,2.4,2.91,2.13,483.35,105500000,NA,99,99,NA,NA,NA,NA,NA,0.14793
Antigua_and_Barbuda,NA,NA,NA,29589,NA,13547312.5,4.6,2.38,2.43,329.12,451566662.3333334,NA,99,99,99,NA,50,NA,NA,5.55411
Aruba,NA,NA,NA,155156,NA,21000000,4,3.8,3.46,979.72,597000000,NA,99,95,64.1,NA,NA,NA,NA,NA
Bahamas,NA,NA,NA,1400223,NA,62000000,2.8,0.85,1.26,240.59,1356506782.3333335,27.77,99,98,95,NA,32.11,NA,NA,NA
Barbados,NA,NA,NA,101388,NA,35000000,6,6.1,4.89,843.67,1744500000,38.11,99.6,99.6,99.6,NA,44,NA,NA,52.52089
Belize,NA,NA,NA,124460,NA,217000000,8,6.1,5.66,253.32,1208198074,18.46,98,98,70,NA,39.26,NA,NA,14.28133
"Bonaire,_Sint_Eustatius_and_Saba",NA,NA,NA,23518,NA,0,NA,NA,NA,NA,173500000,NA,NA,NA,NA,NA,NA,NA,NA,NA
British_Virgin_Islands,NA,NA,NA,43415,NA,0,2.5,2.13,2.03,1021.74,111000000,NA,100,100,100,NA,NA,NA,NA,NA
